date,time,currency,event,impact,actual,forecast,previous
2022-06-01,00:30,JPY,Final Manufacturing PMI,low,53.3,53.2,53.2
2022-06-01,01:30,AUD,GDP q/q,high,0.8%,0.6%,3.4%
2022-06-01,01:45,CNY,RatingDog Manufacturing PMI,low,48.1,49.1,46.0
2022-06-01,06:00,EUR,German Retail Sales m/m,low,-5.4%,-0.5%,-0.1%
2022-06-01,06:00,GBP,Nationwide HPI m/m,low,0.9%,0.6%,0.3%
2022-06-01,06:30,AUD,Commodity Prices y/y,low,30.4%,,39.9%
2022-06-01,07:15,EUR,Spanish Manufacturing PMI,low,53.8,51.9,53.3
2022-06-01,07:30,CHF,Manufacturing PMI,low,60.0,61.2,62.5
2022-06-01,07:45,EUR,Italian Manufacturing PMI,low,51.9,53.5,54.5
2022-06-01,07:50,EUR,French Final Manufacturing PMI,low,54.6,54.5,54.5
2022-06-01,07:55,EUR,German Final Manufacturing PMI,low,54.8,54.7,54.7
2022-06-01,08:00,EUR,Final Manufacturing PMI,low,54.6,54.4,54.4
2022-06-01,08:00,EUR,Italian Monthly Unemployment Rate,low,8.4%,8.3%,8.3%
2022-06-01,08:30,GBP,Final Manufacturing PMI,low,54.6,54.6,54.6
2022-06-01,09:00,EUR,Unemployment Rate,low,6.8%,6.8%,6.8%
2022-06-01,11:00,EUR,ECB President Lagarde Speaks,medium,,,
2022-06-01,13:30,CAD,Manufacturing PMI,low,56.8,,56.2
2022-06-01,13:45,USD,Final Manufacturing PMI,low,57.0,57.5,57.5
2022-06-01,13:49,EUR,French Gov Budget Balance,low,-67.3B,,-38.3B
2022-06-01,14:00,CAD,BOC Rate Statement,high,,,
2022-06-01,14:00,CAD,Overnight Rate,high,1.50%,1.50%,1.00%
2022-06-01,14:00,USD,ISM Manufacturing PMI,high,56.1,54.4,55.4
2022-06-01,14:00,USD,JOLTS Job Openings,high,11.40M,11.29M,11.55M
2022-06-01,14:00,USD,Construction Spending m/m,low,0.2%,0.7%,0.1%
2022-06-01,14:00,USD,ISM Manufacturing Prices,low,82.2,80.6,84.6
2022-06-01,14:15,USD,Omdia Total Vehicle Sales,low,12.7M,13.6M,14.3M
2022-06-01,15:30,USD,FOMC Member Williams Speaks,low,,,
2022-06-01,17:00,USD,FOMC Member Bullard Speaks,medium,,,
2022-06-01,18:00,USD,Beige Book,low,,,
2022-06-01,20:30,USD,API Weekly Statistical Bulletin,low,,,
2022-06-01,22:45,NZD,Overseas Trade Index q/q,low,0.5%,1.3%,-1.0%
2022-06-01,23:50,JPY,Monetary Base y/y,low,4.6%,2.3%,6.6%
2022-06-02,00:01,CNY,Bank Holiday,holiday,,,
2022-06-02,01:30,AUD,Goods Trade Balance,low,10.50B,9.02B,9.31B
2022-06-02,03:35,JPY,10-y Bond Auction,low,0.244.9,,0.255.7
2022-06-02,06:30,CHF,CPI m/m,low,0.7%,0.3%,0.4%
2022-06-02,07:00,EUR,Spanish Unemployment Change,medium,-99.5K,-33.5K,-86.3K
2022-06-02,07:00,GBP,Bank Holiday,holiday,,,
2022-06-02,07:03,EUR,Italian Bank Holiday,holiday,,,
2022-06-02,08:48,EUR,Spanish 10-y Bond Auction,low,2.152.0,,2.051.3
2022-06-02,08:56,EUR,French 10-y Bond Auction,low,1.722.0,,1.511.8
2022-06-02,09:00,EUR,PPI m/m,low,1.2%,2.3%,5.3%
2022-06-02,10:15,All,OPEC-JMMC Meetings,medium,,,
2022-06-02,11:30,USD,Challenger Job Cuts y/y,low,-15.8%,,6.0%
2022-06-02,12:15,USD,ADP Non-Farm Employment Change,high,128K,295K,247K
2022-06-02,12:30,CAD,Building Permits m/m,low,-0.6%,0.5%,-9.3%
2022-06-02,12:30,USD,Unemployment Claims,medium,200K,210K,210K
2022-06-02,12:30,USD,Revised Nonfarm Productivity q/q,low,-7.3%,-7.5%,-7.5%
2022-06-02,12:30,USD,Revised Unit Labor Costs q/q,low,12.6%,11.6%,11.6%
2022-06-02,14:00,USD,Factory Orders m/m,low,0.3%,0.8%,2.2%
2022-06-02,14:30,USD,Natural Gas Storage,low,90B,86B,80B
2022-06-02,14:45,CAD,Gov Council Member Beaudry Speaks,low,,,
2022-06-02,15:00,USD,Crude Oil Inventories,low,-5.1M,-3.0M,-1.0M
2022-06-02,17:00,USD,FOMC Member Mester Speaks,medium,,,
2022-06-02,22:30,AUD,AIG Construction Index,low,50.4,,55.9
2022-06-03,06:00,EUR,German Trade Balance,low,3.5B,5.6B,3.2B
2022-06-03,06:45,EUR,French Industrial Production m/m,low,-0.1%,0.2%,-0.5%
2022-06-03,07:00,GBP,Bank Holiday,holiday,,,
2022-06-03,07:15,EUR,Spanish Services PMI,low,56.5,56.0,57.1
2022-06-03,07:45,EUR,Italian Services PMI,low,53.7,54.6,55.7
2022-06-03,07:50,EUR,French Final Services PMI,low,58.3,58.4,58.4
2022-06-03,07:55,EUR,German Final Services PMI,low,55.0,56.3,56.3
2022-06-03,08:00,EUR,Final Services PMI,low,56.1,56.3,56.3
2022-06-03,09:00,EUR,Retail Sales m/m,low,-1.3%,0.3%,-0.4%
2022-06-03,12:30,CAD,Labor Productivity q/q,low,-0.5%,-0.5%,-0.5%
2022-06-03,12:30,USD,Average Hourly Earnings m/m,high,0.3%,0.4%,0.3%
2022-06-03,12:30,USD,Non-Farm Employment Change,high,390K,325K,428K
2022-06-03,12:30,USD,Unemployment Rate,high,3.6%,3.5%,3.6%
2022-06-03,13:45,USD,Final Services PMI,low,53.4,53.5,53.5
2022-06-03,14:00,USD,ISM Services PMI,medium,55.9,56.5,57.1
2022-06-03,14:30,USD,FOMC Member Brainard Speaks,medium,,,
2022-06-03,14:30,USD,President Biden Speaks,low,,,
2022-06-05,21:00,NZD,Bank Holiday,holiday,,,
2022-06-06,01:02,AUD,MI Inflation Gauge m/m,low,1.1%,,-0.1%
2022-06-06,01:30,AUD,ANZ Job Advertisements m/m,low,0.4%,,-0.5%
2022-06-06,01:45,CNY,RatingDog Services PMI,low,41.4,46.1,36.2
2022-06-06,06:00,CHF,Bank Holiday,holiday,,,
2022-06-06,07:01,EUR,French Bank Holiday,holiday,,,
2022-06-06,07:02,EUR,German Bank Holiday,holiday,,,
2022-06-06,20:00,GBP,Govt Confidence Vote,high,,,
2022-06-06,22:30,AUD,AIG Services Index,low,49.2,,57.8
2022-06-06,23:01,GBP,BRC Retail Sales Monitor y/y,low,-1.5%,0.2%,-1.7%
2022-06-06,23:30,JPY,Average Cash Earnings y/y,low,1.7%,1.5%,1.2%
2022-06-06,23:30,JPY,Household Spending y/y,low,-1.7%,-0.5%,-2.3%
2022-06-07,01:00,NZD,ANZ Commodity Prices m/m,low,-2.8%,,-1.9%
2022-06-07,03:35,JPY,30-y Bond Auction,low,1.053.1,,1.023.1
2022-06-07,04:30,AUD,Cash Rate,high,0.85%,0.60%,0.35%
2022-06-07,04:30,AUD,RBA Rate Statement,high,,,
2022-06-07,05:00,JPY,Leading Indicators,low,102.9%,102.6%,101.0%
2022-06-07,06:00,EUR,German Factory Orders m/m,low,-2.7%,0.4%,-4.7%
2022-06-07,07:00,CHF,Foreign Currency Reserves,low,925B,,926B
2022-06-07,08:30,EUR,Sentix Investor Confidence,low,-15.8,-21.2,-22.6
2022-06-07,08:30,GBP,Final Services PMI,low,53.4,51.8,51.8
2022-06-07,12:30,CAD,Trade Balance,low,1.5B,2.6B,2.5B
2022-06-07,12:30,USD,Trade Balance,low,-87.1B,-89.6B,-109.8B
2022-06-07,14:00,CAD,Ivey PMI,medium,72.0,64.3,66.3
2022-06-07,14:00,USD,Treasury Sec Yellen Speaks,medium,,,
2022-06-07,14:23,NZD,GDT Price Index,low,1.5%,,-2.9%
2022-06-07,19:00,USD,Consumer Credit m/m,low,38.1B,35.5B,52.4B
2022-06-07,20:30,USD,API Weekly Statistical Bulletin,low,,,
2022-06-07,23:50,JPY,Bank Lending y/y,low,0.7%,0.8%,0.9%
2022-06-07,23:50,JPY,Current Account,low,0.51T,0.40T,1.56T
2022-06-07,23:50,JPY,Final GDP Price Index y/y,low,-0.5%,-0.4%,-0.4%
2022-06-07,23:50,JPY,Final GDP q/q,low,-0.1%,-0.3%,-0.2%
2022-06-08,05:00,JPY,Economy Watchers Sentiment,low,54.0,51.9,50.4
2022-06-08,05:45,CHF,Unemployment Rate,low,2.2%,2.2%,2.2%
2022-06-08,06:00,GBP,Halifax HPI m/m,low,1.0%,0.8%,1.1%
2022-06-08,06:02,EUR,German Industrial Production m/m,low,0.7%,1.3%,-3.9%
2022-06-08,06:45,EUR,French Trade Balance,low,-12.2B,-11.1B,-12.4B
2022-06-08,08:00,EUR,Italian Retail Sales m/m,low,0.0%,0.1%,-0.5%
2022-06-08,08:30,GBP,Construction PMI,low,56.4,56.5,58.2
2022-06-08,09:00,EUR,Final Employment Change q/q,low,0.6%,0.5%,0.5%
2022-06-08,09:00,EUR,Revised GDP q/q,low,0.6%,0.3%,0.3%
2022-06-08,09:02,GBP,10-y Bond Auction,low,2.302.8,,1.932.6
2022-06-08,09:32,EUR,German 10-y Bond Auction,low,1.331.7,,0.961.4
2022-06-08,14:00,USD,Final Wholesale Inventories m/m,low,2.2%,2.1%,2.1%
2022-06-08,14:30,USD,Crude Oil Inventories,low,2.0M,-2.6M,-5.1M
2022-06-08,17:01,USD,10-y Bond Auction,low,3.032.4,,2.942.5
2022-06-08,23:01,GBP,RICS House Price Balance,low,73%,76%,80%
2022-06-08,23:50,JPY,M2 Money Stock y/y,low,3.2%,3.6%,3.6%
2022-06-09,03:02,CNY,Trade Balance,low,503B,400B,325B
2022-06-09,03:03,CNY,USD-Denominated Trade Balance,low,78.8B,58.0B,51.1B
2022-06-09,05:30,EUR,French Final Private Payrolls q/q,low,0.3%,0.3%,0.3%
