date,time,currency,event,impact,actual,forecast,previous
2022-04-01,00:30,JPY,Final Manufacturing PMI,low,54.1,53.2,53.2
2022-04-01,01:45,CNY,RatingDog Manufacturing PMI,low,48.1,50.0,50.4
2022-04-01,05:30,AUD,Commodity Prices y/y,low,40.9%,,16.7%
2022-04-01,06:30,CHF,CPI m/m,low,0.6%,0.5%,0.7%
2022-04-01,06:45,EUR,French Gov Budget Balance,low,-37.6B,,-15.9B
2022-04-01,07:15,EUR,Spanish Manufacturing PMI,low,54.2,55.8,56.9
2022-04-01,07:30,CHF,Manufacturing PMI,low,64.0,61.0,62.6
2022-04-01,07:45,EUR,Italian Manufacturing PMI,low,55.8,57.0,58.3
2022-04-01,07:50,EUR,French Final Manufacturing PMI,low,54.7,54.8,54.8
2022-04-01,07:55,EUR,German Final Manufacturing PMI,low,56.9,57.6,57.6
2022-04-01,08:00,EUR,Final Manufacturing PMI,low,56.5,57.0,57.0
2022-04-01,08:30,GBP,Final Manufacturing PMI,low,55.2,55.5,55.5
2022-04-01,09:00,EUR,CPI Flash Estimate y/y,medium,7.5%,6.7%,5.8%
2022-04-01,09:00,EUR,Core CPI Flash Estimate y/y,low,3.0%,3.1%,2.7%
2022-04-01,12:30,USD,Average Hourly Earnings m/m,high,0.4%,0.4%,0.0%
2022-04-01,12:30,USD,Non-Farm Employment Change,high,431K,492K,678K
2022-04-01,12:30,USD,Unemployment Rate,high,3.6%,3.7%,3.8%
2022-04-01,13:30,CAD,Manufacturing PMI,low,58.9,,56.6
2022-04-01,13:45,USD,Final Manufacturing PMI,low,58.8,58.5,58.5
2022-04-01,14:00,USD,ISM Manufacturing PMI,high,57.1,58.9,58.6
2022-04-01,14:00,USD,Construction Spending m/m,low,0.5%,1.0%,1.3%
2022-04-01,14:00,USD,ISM Manufacturing Prices,low,87.1,79.9,75.6
2022-04-01,14:15,USD,Omdia Total Vehicle Sales,low,13.3M,13.4M,14.1M
2022-04-01,14:45,USD,President Biden Speaks,low,,,
2022-04-02,14:00,NZD,Daylight Saving Time Shift,holiday,,,
2022-04-02,16:00,AUD,Daylight Saving Time Shift,holiday,,,
2022-04-02,17:00,USD,FOMC Member Williams Speaks,low,,,
2022-04-03,23:50,JPY,Monetary Base y/y,low,7.9%,8.0%,7.6%
2022-04-04,00:01,CNY,Bank Holiday,holiday,,,
2022-04-04,01:00,AUD,MI Inflation Gauge m/m,low,0.8%,,0.5%
2022-04-04,01:30,AUD,ANZ Job Advertisements m/m,low,0.4%,,8.4%
2022-04-04,06:00,EUR,German Trade Balance,low,11.5B,11.3B,9.4B
2022-04-04,07:00,EUR,Spanish Unemployment Change,medium,-2.9K,15.3K,-11.4K
2022-04-04,08:30,EUR,Sentix Investor Confidence,low,-18.0,-9.3,-7.0
2022-04-04,09:05,GBP,BOE Gov Bailey Speaks,medium,,,
2022-04-04,10:15,EUR,Eurogroup Meetings,low,,,
2022-04-04,12:30,CAD,Building Permits m/m,low,21.0%,6.9%,-8.8%
2022-04-04,14:00,GBP,MPC Member Cunliffe Speaks,low,,,
2022-04-04,14:00,USD,Factory Orders m/m,low,-0.5%,-0.5%,1.4%
2022-04-04,14:30,CAD,BOC Business Outlook Survey,medium,,,
2022-04-04,22:30,AUD,AIG Construction Index,low,56.5,,53.4
2022-04-04,23:30,JPY,Average Cash Earnings y/y,low,1.2%,0.6%,0.9%
2022-04-04,23:30,JPY,Household Spending y/y,low,1.1%,2.8%,6.9%
2022-04-05,00:01,CNY,Bank Holiday,holiday,,,
2022-04-05,03:35,JPY,10-y Bond Auction,low,0.203.6,,0.183.2
2022-04-05,04:30,AUD,Cash Rate,high,0.10%,0.10%,0.10%
2022-04-05,04:30,AUD,RBA Rate Statement,high,,,
2022-04-05,06:45,EUR,French Industrial Production m/m,low,-0.9%,-0.4%,1.6%
2022-04-05,07:15,EUR,Spanish Services PMI,low,53.4,54.2,56.6
2022-04-05,07:45,EUR,Italian Services PMI,low,52.1,51.6,52.8
2022-04-05,07:50,EUR,French Final Services PMI,low,57.4,57.4,57.4
2022-04-05,07:55,EUR,German Final Services PMI,low,56.1,55.0,55.0
2022-04-05,08:00,EUR,Final Services PMI,low,55.6,54.8,54.8
2022-04-05,08:30,GBP,Final Services PMI,low,62.6,60.9,61.0
2022-04-05,08:30,GBP,Housing Equity Withdrawal q/q,low,-12.1B,1.4B,-7.1B
2022-04-05,10:15,EUR,ECOFIN Meetings,low,,,
2022-04-05,12:30,CAD,Trade Balance,low,2.7B,2.9B,2.6B
2022-04-05,12:30,USD,Trade Balance,low,-89.2B,-88.5B,-89.7B
2022-04-05,13:45,USD,Final Services PMI,low,58.0,58.9,58.9
2022-04-05,14:00,USD,ISM Services PMI,high,58.3,58.6,56.5
2022-04-05,14:05,USD,FOMC Member Brainard Speaks,medium,,,
2022-04-05,14:45,NZD,GDT Price Index,low,-1.0%,,-0.9%
2022-04-05,18:00,USD,FOMC Member Williams Speaks,low,,,
2022-04-05,20:30,USD,API Weekly Statistical Bulletin,low,,,
2022-04-06,01:08,NZD,ANZ Commodity Prices m/m,low,3.9%,,3.9%
2022-04-06,01:45,CNY,RatingDog Services PMI,low,42.0,49.6,50.2
2022-04-06,06:00,EUR,German Factory Orders m/m,low,-2.2%,-0.2%,1.8%
2022-04-06,06:05,AUD,RBA Gov Bullock Speaks,low,,,
2022-04-06,08:30,GBP,Construction PMI,low,59.1,58.0,59.1
2022-04-06,09:00,EUR,PPI m/m,low,1.1%,1.2%,5.2%
2022-04-06,14:00,CAD,Ivey PMI,medium,74.2,62.3,60.6
2022-04-06,14:00,USD,Treasury Sec Yellen Speaks,medium,,,
2022-04-06,14:30,USD,Crude Oil Inventories,low,2.4M,-2.9M,-3.4M
2022-04-06,18:00,USD,FOMC Meeting Minutes,high,,,
2022-04-06,22:30,AUD,AIG Services Index,low,56.2,,60.0
2022-04-07,01:30,AUD,Goods Trade Balance,low,7.46B,11.70B,12.89B
2022-04-07,03:35,JPY,30-y Bond Auction,low,0.993.0,,0.893.1
2022-04-07,05:00,JPY,Leading Indicators,low,100.9%,100.9%,103.7%
2022-04-07,05:45,CHF,Unemployment Rate,low,2.2%,2.2%,2.2%
2022-04-07,06:00,EUR,German Industrial Production m/m,low,0.2%,0.1%,2.7%
2022-04-07,06:00,GBP,Halifax HPI m/m,low,1.4%,0.9%,0.5%
2022-04-07,07:00,CHF,Foreign Currency Reserves,low,911B,,938B
2022-04-07,08:49,EUR,Spanish 10-y Bond Auction,low,1.602.3,,1.231.5
2022-04-07,09:00,EUR,Retail Sales m/m,low,0.3%,0.6%,0.2%
2022-04-07,09:03,EUR,French 10-y Bond Auction,low,1.171.8,,0.521.7
2022-04-07,11:30,EUR,ECB Monetary Policy Meeting Accounts,low,,,
2022-04-07,12:15,GBP,MPC Member Pill Speaks,low,,,
2022-04-07,12:30,USD,Unemployment Claims,medium,166K,201K,202K
2022-04-07,13:00,USD,FOMC Member Bullard Speaks,medium,,,
2022-04-07,14:30,USD,Treasury Sec Yellen Speaks,medium,,,
2022-04-07,14:30,USD,Natural Gas Storage,low,-33B,-28B,26B
2022-04-07,19:00,USD,Consumer Credit m/m,low,41.8B,18.0B,6.8B
