date,time,currency,event,impact,actual,forecast,previous
2023-01-01,20:00,NZD,Bank Holiday,holiday,,,
2023-01-01,21:00,AUD,Bank Holiday,holiday,,,
2023-01-02,00:00,JPY,Bank Holiday,holiday,,,
2023-01-02,00:01,CNY,Bank Holiday,holiday,,,
2023-01-02,06:00,CHF,Bank Holiday,holiday,,,
2023-01-02,08:00,GBP,Bank Holiday,holiday,,,
2023-01-02,08:15,EUR,Spanish Manufacturing PMI,low,46.4,45.9,45.7
2023-01-02,08:45,EUR,Italian Manufacturing PMI,low,48.5,48.5,48.4
2023-01-02,08:50,EUR,French Final Manufacturing PMI,low,49.2,48.9,48.9
2023-01-02,08:55,EUR,German Final Manufacturing PMI,low,47.1,47.4,47.4
2023-01-02,09:00,EUR,Final Manufacturing PMI,low,47.8,47.8,47.8
2023-01-02,13:00,CAD,Bank Holiday,holiday,,,
2023-01-02,13:00,USD,Bank Holiday,holiday,,,
2023-01-02,20:00,NZD,Bank Holiday,holiday,,,
2023-01-03,00:00,JPY,Bank Holiday,holiday,,,
2023-01-03,01:45,CNY,RatingDog Manufacturing PMI,low,49.0,49.2,49.4
2023-01-03,05:30,AUD,Commodity Prices y/y,low,15.6%,,19.1%
2023-01-03,07:29,EUR,German Prelim CPI m/m,low,-0.8%,-0.6%,-0.5%
2023-01-03,08:00,EUR,Spanish Unemployment Change,low,-43.7K,-40.3K,-33.5K
2023-01-03,08:30,CHF,Manufacturing PMI,low,54.1,53.0,53.9
2023-01-03,08:55,EUR,German Unemployment Change,low,-13K,15K,17K
2023-01-03,09:30,GBP,Final Manufacturing PMI,low,45.3,44.7,44.7
2023-01-03,14:30,CAD,Manufacturing PMI,low,49.2,,49.6
2023-01-03,14:39,NZD,GDT Price Index,low,-2.8%,,-3.8%
2023-01-03,14:45,USD,Final Manufacturing PMI,low,46.2,46.2,46.2
2023-01-03,15:00,USD,Construction Spending m/m,low,0.2%,-0.4%,-0.3%
2023-01-04,00:01,GBP,BRC Shop Price Index y/y,low,7.3%,,7.4%
2023-01-04,00:30,JPY,Final Manufacturing PMI,low,48.9,48.8,48.8
2023-01-04,07:00,EUR,German Import Prices m/m,low,-4.5%,-1.7%,-1.2%
2023-01-04,07:30,CHF,CPI m/m,high,-0.2%,-0.1%,0.0%
2023-01-04,07:45,EUR,French Prelim CPI m/m,low,-0.1%,0.5%,0.3%
2023-01-04,08:15,EUR,Spanish Services PMI,low,51.6,50.8,51.2
2023-01-04,08:45,EUR,Italian Services PMI,low,49.9,49.5,49.5
2023-01-04,08:50,EUR,French Final Services PMI,low,49.5,48.1,48.1
2023-01-04,08:55,EUR,German Final Services PMI,low,49.2,49.0,49.0
2023-01-04,09:00,EUR,Final Services PMI,low,49.8,49.1,49.1
2023-01-04,09:30,GBP,M4 Money Supply m/m,low,-1.6%,0.2%,0.0%
2023-01-04,09:30,GBP,Mortgage Approvals,low,46K,54K,59K
2023-01-04,09:30,GBP,Net Lending to Individuals m/m,low,5.9B,4.5B,4.7B
2023-01-04,15:00,USD,ISM Manufacturing PMI,high,48.4,48.5,49.0
2023-01-04,15:00,USD,JOLTS Job Openings,high,10.46M,10.04M,10.33M
2023-01-04,15:00,USD,ISM Manufacturing Prices,low,39.4,42.9,43.0
2023-01-04,15:15,USD,Omdia Total Vehicle Sales,low,13.3M,13.4M,14.1M
2023-01-04,19:00,USD,FOMC Meeting Minutes,high,,,
2023-01-04,21:30,USD,API Weekly Statistical Bulletin,low,,,
2023-01-04,23:50,JPY,Monetary Base y/y,low,-6.1%,-6.1%,-6.4%
2023-01-05,01:45,CNY,RatingDog Services PMI,low,48.0,46.8,46.7
2023-01-05,03:35,JPY,10-y Bond Auction,low,0.504.8,,0.256.0
