date,time,currency,event,impact,actual,forecast,previous
2024-04-01,00:30,JPY,Final Manufacturing PMI,low,48.2,48.2,48.2
2024-04-01,01:45,CNY,RatingDog Manufacturing PMI,low,51.1,51.0,50.9
2024-04-01,05:00,CHF,Bank Holiday,holiday,,,
2024-04-01,06:01,EUR,French Bank Holiday,holiday,,,
2024-04-01,06:02,EUR,German Bank Holiday,holiday,,,
2024-04-01,06:03,EUR,Italian Bank Holiday,holiday,,,
2024-04-01,07:00,GBP,Bank Holiday,holiday,,,
2024-04-01,13:30,CAD,Manufacturing PMI,low,49.8,,49.7
2024-04-01,13:45,USD,Final Manufacturing PMI,low,51.9,52.5,52.5
2024-04-01,14:00,USD,ISM Manufacturing PMI,high,50.3,48.5,47.8
2024-04-01,14:00,USD,ISM Manufacturing Prices,medium,55.8,53.3,52.5
2024-04-01,14:00,USD,Construction Spending m/m,low,-0.3%,0.7%,-0.2%
2024-04-01,14:30,CAD,BOC Business Outlook Survey,medium,,,
2024-04-01,22:10,AUD,RBA Assist Gov Kent Speaks,low,,,
2024-04-01,22:50,USD,FOMC Member Cook Speaks,low,,,
2024-04-01,23:01,GBP,BRC Shop Price Index y/y,low,1.3%,,2.5%
2024-04-01,23:50,JPY,Monetary Base y/y,low,1.6%,2.5%,2.4%
2024-04-02,00:00,AUD,MI Inflation Gauge m/m,low,0.1%,,-0.1%
2024-04-02,00:30,AUD,Monetary Policy Meeting Minutes,medium,,,
2024-04-02,00:30,AUD,ANZ Job Advertisements m/m,low,-1.0%,,-2.8%
2024-04-02,03:35,JPY,10-y Bond Auction,low,0.753.8,,0.723.2
2024-04-02,06:00,GBP,Nationwide HPI m/m,low,-0.2%,0.4%,0.7%
2024-04-02,06:10,AUD,Commodity Prices y/y,low,-15.3%,,-11.0%
2024-04-02,06:29,EUR,German Prelim CPI m/m,high,0.4%,0.5%,0.4%
2024-04-02,06:30,CHF,Retail Sales y/y,low,-0.2%,0.4%,0.3%
2024-04-02,07:00,EUR,Spanish Unemployment Change,low,-33.4K,10.0K,-7.5K
2024-04-02,07:15,EUR,Spanish Manufacturing PMI,low,51.4,51.1,51.5
2024-04-02,07:30,CHF,Manufacturing PMI,low,45.2,45.0,44.0
2024-04-02,07:45,EUR,Italian Manufacturing PMI,low,50.4,48.9,48.7
2024-04-02,07:50,EUR,French Final Manufacturing PMI,low,46.2,45.8,45.8
2024-04-02,07:55,EUR,German Final Manufacturing PMI,low,41.9,41.6,41.6
2024-04-02,08:00,EUR,Final Manufacturing PMI,low,46.1,45.7,45.7
2024-04-02,08:30,GBP,Final Manufacturing PMI,low,50.3,49.9,49.9
2024-04-02,08:30,GBP,M4 Money Supply m/m,low,0.5%,0.2%,-0.1%
2024-04-02,08:30,GBP,Mortgage Approvals,low,60K,57K,55K
2024-04-02,08:30,GBP,Net Lending to Individuals m/m,low,2.9B,1.2B,0.8B
2024-04-02,14:00,USD,JOLTS Job Openings,high,8.76M,8.76M,8.86M
2024-04-02,14:00,USD,Factory Orders m/m,low,1.4%,1.1%,-3.6%
2024-04-02,14:10,USD,FOMC Member Bowman Speaks,low,,,
2024-04-02,14:15,USD,Omdia Total Vehicle Sales,low,15.5M,15.9M,15.8M
2024-04-02,15:02,NZD,GDT Price Index,low,2.8%,,-2.8%
2024-04-02,16:00,USD,FOMC Member Williams Speaks,low,,,
2024-04-02,16:05,USD,FOMC Member Mester Speaks,medium,,,
2024-04-02,17:30,USD,FOMC Member Daly Speaks,low,,,
2024-04-02,20:30,USD,API Weekly Statistical Bulletin,low,,,
2024-04-03,01:45,CNY,RatingDog Services PMI,low,52.7,52.5,52.5
2024-04-03,06:45,EUR,French Gov Budget Balance,low,-44.0B,,-25.7B
2024-04-03,08:00,EUR,Italian Monthly Unemployment Rate,low,7.5%,7.2%,7.2%
2024-04-03,09:00,EUR,Core CPI Flash Estimate y/y,medium,2.9%,3.0%,3.1%
2024-04-03,09:00,EUR,CPI Flash Estimate y/y,medium,2.4%,2.5%,2.6%
2024-04-03,09:00,EUR,Unemployment Rate,low,6.5%,6.4%,6.4%
2024-04-03,09:15,All,OPEC-JMMC Meetings,medium,,,
2024-04-03,09:33,EUR,German 10-y Bond Auction,low,2.382.0,,2.302.3
2024-04-03,12:15,USD,ADP Non-Farm Employment Change,high,184K,148K,140K
2024-04-03,12:30,USD,FOMC Member Bostic Speaks,low,,,
2024-04-03,13:45,USD,Final Services PMI,medium,51.7,51.7,51.7
2024-04-03,13:45,USD,FOMC Member Bowman Speaks,low,,,
2024-04-03,14:00,USD,ISM Services PMI,high,51.4,52.8,52.6
2024-04-03,14:30,USD,Crude Oil Inventories,low,3.2M,-0.3M,3.2M
2024-04-03,16:10,USD,FOMC Member Powell Speaks,high,,,
2024-04-03,17:10,USD,FOMC Member Barr Speaks,low,,,
2024-04-03,20:30,USD,FOMC Member Kugler Speaks,low,,,
2024-04-03,21:45,NZD,Building Consents m/m,low,14.9%,,-8.8%
2024-04-03,23:50,AUD,RBA Assist Gov Jones Speaks,low,,,
2024-04-04,00:00,NZD,ANZ Commodity Prices m/m,low,-1.3%,,3.5%
2024-04-04,00:01,CNY,Bank Holiday,holiday,,,
2024-04-04,00:30,AUD,Building Approvals m/m,low,-1.9%,3.0%,-1.0%
2024-04-04,01:30,AUD,Household Spending m/m,low,3.8%,,-14.0%
2024-04-04,03:35,JPY,30-y Bond Auction,low,1.813.5,,1.772.9
2024-04-04,06:30,CHF,CPI m/m,high,0.0%,0.3%,0.6%
2024-04-04,07:15,EUR,Spanish Services PMI,low,56.1,55.5,54.7
2024-04-04,07:45,EUR,Italian Services PMI,low,54.6,53.0,52.2
2024-04-04,07:50,EUR,French Final Services PMI,low,48.3,47.8,47.8
2024-04-04,07:55,EUR,German Final Services PMI,low,50.1,49.8,49.8
2024-04-04,08:00,EUR,Final Services PMI,low,51.5,51.1,51.1
2024-04-04,08:30,GBP,Final Services PMI,low,53.1,53.4,53.4
2024-04-04,08:42,EUR,Spanish 10-y Bond Auction,low,3.191.8,,3.162.2
