date,time,currency,event,impact,actual,forecast,previous
2022-12-01,00:30,AUD,Private Capital Expenditure q/q,low,-0.6%,1.6%,-0.3%
2022-12-01,00:30,JPY,Final Manufacturing PMI,low,49.0,49.4,49.4
2022-12-01,01:45,CNY,RatingDog Manufacturing PMI,low,49.4,48.9,49.2
2022-12-01,03:35,JPY,10-y Bond Auction,low,0.256.0,,0.255.2
2022-12-01,05:00,JPY,Consumer Confidence,low,28.6,30.0,29.9
2022-12-01,05:30,AUD,Commodity Prices y/y,low,19.1%,,22.4%
2022-12-01,07:00,EUR,German Retail Sales m/m,low,-2.8%,-0.6%,0.9%
2022-12-01,07:00,GBP,Nationwide HPI m/m,low,-1.4%,-0.3%,-0.9%
2022-12-01,07:30,CHF,CPI m/m,high,0.0%,0.0%,0.1%
2022-12-01,07:30,CHF,Retail Sales y/y,low,-2.5%,3.5%,3.2%
2022-12-01,08:15,EUR,Spanish Manufacturing PMI,low,45.7,45.9,44.7
2022-12-01,08:30,CHF,Manufacturing PMI,low,53.9,54.1,54.9
2022-12-01,08:45,EUR,Italian Manufacturing PMI,low,48.4,47.0,46.5
2022-12-01,08:50,EUR,French Final Manufacturing PMI,low,48.3,49.1,49.1
2022-12-01,08:55,EUR,German Final Manufacturing PMI,low,46.2,46.7,46.7
2022-12-01,09:00,EUR,Final Manufacturing PMI,low,47.1,47.3,47.3
2022-12-01,09:00,EUR,Italian Monthly Unemployment Rate,low,7.8%,8.0%,7.9%
2022-12-01,09:30,GBP,Final Manufacturing PMI,low,46.5,46.2,46.2
2022-12-01,10:00,EUR,Unemployment Rate,low,6.5%,6.6%,6.6%
2022-12-01,10:02,EUR,French 10-y Bond Auction,low,2.192.2,,2.762.1
2022-12-01,10:03,GBP,30-y Bond Auction,low,3.412.1,,2.362.5
2022-12-01,10:06,EUR,Spanish 10-y Bond Auction,low,2.662.2,,2.901.8
2022-12-01,12:30,USD,Challenger Job Cuts y/y,low,416.5%,,48.3%
2022-12-01,13:30,CAD,Labor Productivity q/q,low,0.6%,0.3%,0.2%
2022-12-01,13:30,USD,Core PCE Price Index m/m,high,0.2%,0.3%,0.5%
2022-12-01,13:30,USD,Unemployment Claims,medium,225K,234K,240K
2022-12-01,13:30,USD,Personal Income m/m,low,0.7%,0.4%,0.4%
2022-12-01,13:30,USD,Personal Spending m/m,low,0.8%,0.8%,0.6%
2022-12-01,14:30,CAD,Manufacturing PMI,low,49.6,,48.8
2022-12-01,14:30,USD,FOMC Member Bowman Speaks,low,,,
2022-12-01,14:45,USD,Final Manufacturing PMI,low,47.7,47.6,47.6
2022-12-01,15:00,USD,ISM Manufacturing PMI,high,49.0,49.7,50.2
2022-12-01,15:00,USD,Construction Spending m/m,low,-0.3%,-0.2%,0.2%
2022-12-01,15:00,USD,ISM Manufacturing Prices,low,43.0,45.9,46.6
2022-12-01,15:15,USD,Omdia Total Vehicle Sales,low,14.1M,14.5M,14.9M
2022-12-01,15:30,USD,Natural Gas Storage,low,-81B,-82B,-80B
2022-12-01,20:00,USD,FOMC Member Barr Speaks,low,,,
2022-12-01,21:45,NZD,Overseas Trade Index q/q,low,-3.4%,0.4%,-2.4%
2022-12-01,23:50,JPY,Monetary Base y/y,low,-6.4%,-4.5%,-6.9%
2022-12-02,01:30,JPY,BOJ Gov Kuroda Speaks,medium,,,
2022-12-02,02:40,AUD,RBA Gov Lowe Speaks,high,,,
2022-12-02,02:40,EUR,ECB President Lagarde Speaks,medium,,,
2022-12-02,04:30,NZD,RBNZ Gov Orr Speaks,high,,,
