date,time,currency,event,impact,actual,forecast,previous
2024-02-01,00:30,AUD,Building Approvals m/m,low,-9.5%,0.5%,1.6%
2024-02-01,00:30,AUD,Import Prices q/q,low,1.1%,0.6%,0.8%
2024-02-01,00:30,AUD,NAB Quarterly Business Confidence,low,-6,,-1
2024-02-01,00:30,JPY,Final Manufacturing PMI,low,48.0,48.0,48.0
2024-02-01,01:45,CNY,RatingDog Manufacturing PMI,medium,50.8,50.8,50.8
2024-02-01,03:35,JPY,10-y Bond Auction,low,0.743.6,,0.602.9
2024-02-01,05:30,AUD,Commodity Prices y/y,low,-10.4%,,-10.7%
2024-02-01,08:00,EUR,ECB President Lagarde Speaks,medium,,,
2024-02-01,08:15,EUR,Spanish Manufacturing PMI,low,49.2,47.9,46.2
2024-02-01,08:30,CHF,Manufacturing PMI,low,43.1,44.5,43.0
2024-02-01,08:45,EUR,Italian Manufacturing PMI,low,48.5,47.0,45.3
2024-02-01,08:50,EUR,French Final Manufacturing PMI,low,43.1,43.2,43.2
2024-02-01,08:55,EUR,German Final Manufacturing PMI,low,45.5,45.4,45.4
2024-02-01,09:00,EUR,Final Manufacturing PMI,low,46.6,46.6,46.6
2024-02-01,09:30,GBP,Final Manufacturing PMI,low,47.0,47.3,47.3
2024-02-01,09:45,EUR,Spanish 10-y Bond Auction,low,3.171.8,,3.612.2
2024-02-01,10:00,EUR,Core CPI Flash Estimate y/y,medium,3.3%,3.2%,3.4%
2024-02-01,10:00,EUR,CPI Flash Estimate y/y,medium,2.8%,2.7%,2.9%
2024-02-01,10:00,EUR,Italian Prelim CPI m/m,low,0.3%,0.5%,0.2%
2024-02-01,10:00,EUR,Unemployment Rate,low,6.4%,6.4%,6.4%
2024-02-01,10:01,EUR,French 10-y Bond Auction,low,2.701.9,,2.591.8
2024-02-01,10:15,All,OPEC-JMMC Meetings,medium,,,
2024-02-01,12:00,GBP,BOE Monetary Policy Report,high,,,
2024-02-01,12:00,GBP,Monetary Policy Summary,high,,,
2024-02-01,12:00,GBP,MPC Official Bank Rate Votes,high,2-1-6,2-0-7,3-0-6
2024-02-01,12:00,GBP,Official Bank Rate,high,5.25%,5.25%,5.25%
2024-02-01,12:30,GBP,BOE Gov Bailey Speaks,high,,,
2024-02-01,12:30,USD,Challenger Job Cuts y/y,low,-20.0%,,-20.2%
2024-02-01,13:30,USD,Unemployment Claims,high,224K,213K,214K
2024-02-01,13:30,USD,Prelim Nonfarm Productivity q/q,low,3.2%,2.4%,4.7%
2024-02-01,13:30,USD,Prelim Unit Labor Costs q/q,low,0.5%,1.3%,-0.8%
2024-02-01,14:30,CAD,Manufacturing PMI,low,48.3,,45.4
2024-02-01,14:45,USD,Final Manufacturing PMI,low,50.7,50.3,50.3
2024-02-01,15:00,USD,ISM Manufacturing PMI,high,49.1,47.2,47.4
2024-02-01,15:00,USD,ISM Manufacturing Prices,medium,52.9,46.0,45.2
2024-02-01,15:00,USD,Construction Spending m/m,low,0.9%,0.5%,0.4%
2024-02-01,15:15,USD,Omdia Total Vehicle Sales,low,15.0M,15.7M,15.8M
2024-02-01,15:30,USD,Natural Gas Storage,low,-197B,-202B,-326B
2024-02-01,16:30,CAD,BOC Gov Macklem Speaks,high,,,
2024-02-01,21:45,NZD,Building Consents m/m,low,3.7%,,-10.6%
2024-02-01,23:50,JPY,Monetary Base y/y,low,4.8%,7.5%,7.8%
2024-02-02,00:30,AUD,PPI q/q,low,0.9%,1.9%,1.8%
2024-02-02,07:45,EUR,French Gov Budget Balance,low,-173.3B,,-198.0B
2024-02-02,07:45,EUR,French Industrial Production m/m,low,1.1%,0.2%,0.5%
2024-02-02,08:00,EUR,Spanish Unemployment Change,low,60.4K,-38.6K,-27.4K
2024-02-02,12:15,GBP,MPC Member Pill Speaks,low,,,
2024-02-02,13:30,USD,Average Hourly Earnings m/m,high,0.6%,0.3%,0.4%
2024-02-02,13:30,USD,Non-Farm Employment Change,high,353K,187K,216K
2024-02-02,13:30,USD,Unemployment Rate,high,3.7%,3.8%,3.7%
2024-02-02,15:00,USD,Revised UoM Consumer Sentiment,high,79.0,78.9,78.8
2024-02-02,15:00,USD,Factory Orders m/m,low,0.2%,0.3%,2.6%
2024-02-02,15:00,USD,Revised UoM Inflation Expectations,low,2.9%,,2.9%
2024-02-05,00:00,AUD,MI Inflation Gauge m/m,low,0.3%,,1.0%
2024-02-05,00:00,NZD,ANZ Commodity Prices m/m,low,2.2%,,2.4%
2024-02-05,00:00,USD,FOMC Member Powell Speaks,high,,,
