date,time,currency,event,impact,actual,forecast,previous
2025-08-01,00:30,JPY,Final Manufacturing PMI,low,48.9,48.8,48.8
2025-08-01,01:30,AUD,PPI q/q,low,0.7%,0.9%,0.9%
2025-08-01,01:45,CNY,RatingDog Manufacturing PMI,low,49.5,50.2,50.4
2025-08-01,05:00,CHF,Bank Holiday,holiday,,,
2025-08-01,06:00,GBP,Nationwide HPI m/m,low,0.6%,0.5%,-0.8%
2025-08-01,06:30,AUD,Commodity Prices y/y,low,-9.0%,,-8.7%
2025-08-01,07:15,EUR,Spanish Manufacturing PMI,low,51.9,51.7,51.4
2025-08-01,07:45,EUR,Italian Manufacturing PMI,low,49.8,48.7,48.4
2025-08-01,07:50,EUR,French Final Manufacturing PMI,low,48.2,48.4,48.4
2025-08-01,07:55,EUR,German Final Manufacturing PMI,low,49.1,49.2,49.2
2025-08-01,08:00,EUR,Final Manufacturing PMI,low,49.8,49.8,49.8
2025-08-01,08:00,EUR,Italian Retail Sales m/m,low,0.6%,0.3%,-0.4%
2025-08-01,08:30,GBP,Final Manufacturing PMI,low,48.0,48.2,48.2
2025-08-01,09:00,EUR,Core CPI Flash Estimate y/y,medium,2.3%,2.3%,2.3%
2025-08-01,09:00,EUR,CPI Flash Estimate y/y,medium,2.0%,1.9%,2.0%
2025-08-01,12:30,USD,Average Hourly Earnings m/m,high,0.3%,0.3%,0.2%
2025-08-01,12:30,USD,Non-Farm Employment Change,high,73K,106K,147K
2025-08-01,12:30,USD,Unemployment Rate,high,4.2%,4.2%,4.1%
2025-08-01,13:30,CAD,Manufacturing PMI,low,46.1,,45.6
2025-08-01,13:45,USD,Final Manufacturing PMI,low,49.8,49.7,49.5
2025-08-01,14:00,USD,ISM Manufacturing PMI,high,48.0,49.5,49.0
2025-08-01,14:00,USD,ISM Manufacturing Prices,medium,64.8,69.9,69.7
2025-08-01,14:00,USD,Revised UoM Consumer Sentiment,medium,61.7,62.0,61.8
2025-08-01,14:00,USD,Construction Spending m/m,low,-0.4%,0.0%,-0.3%
2025-08-01,14:00,USD,Revised UoM Inflation Expectations,low,4.5%,,4.4%
2025-08-01,14:15,USD,Omdia Total Vehicle Sales,low,16.4M,16.0M,15.3M
