date,time,currency,event,impact,actual,forecast,previous
2023-12-01,00:30,JPY,Final Manufacturing PMI,low,48.3,48.1,48.1
2023-12-01,01:45,CNY,RatingDog Manufacturing PMI,medium,50.7,49.6,49.5
2023-12-01,05:30,AUD,Commodity Prices y/y,low,-10.5%,,-16.8%
2023-12-01,07:00,GBP,Nationwide HPI m/m,low,0.2%,-0.4%,0.9%
2023-12-01,07:45,EUR,French Gov Budget Balance,low,-177.7B,,-186.1B
2023-12-01,08:00,CHF,GDP q/q,medium,0.3%,0.1%,0.0%
2023-12-01,08:00,USD,FOMC Member Barr Speaks,low,,,
2023-12-01,08:15,EUR,Spanish Manufacturing PMI,low,46.3,45.6,45.1
2023-12-01,08:30,CHF,Manufacturing PMI,low,42.1,42.0,40.6
2023-12-01,08:45,EUR,Italian Manufacturing PMI,low,44.4,45.3,44.9
2023-12-01,08:50,EUR,French Final Manufacturing PMI,low,42.9,42.6,42.6
2023-12-01,08:55,EUR,German Final Manufacturing PMI,low,42.6,42.3,42.3
2023-12-01,09:00,EUR,Final Manufacturing PMI,low,44.2,43.8,43.8
2023-12-01,09:30,GBP,Final Manufacturing PMI,low,47.2,46.7,46.7
2023-12-01,11:30,EUR,ECB President Lagarde Speaks,medium,,,
2023-12-01,13:30,CAD,Employment Change,high,24.9K,14.2K,17.5K
2023-12-01,13:30,CAD,Unemployment Rate,high,5.8%,5.8%,5.7%
2023-12-01,14:30,CAD,Manufacturing PMI,low,47.7,,48.6
2023-12-01,14:45,USD,Final Manufacturing PMI,low,49.4,49.4,49.4
2023-12-01,15:00,USD,ISM Manufacturing PMI,high,46.7,47.9,46.7
2023-12-01,15:00,USD,ISM Manufacturing Prices,medium,49.9,46.1,45.1
2023-12-01,15:00,USD,Construction Spending m/m,low,0.6%,0.4%,0.4%
2023-12-01,15:00,USD,FOMC Member Goolsbee Speaks,low,,,
2023-12-01,15:15,USD,Omdia Total Vehicle Sales,low,15.3M,15.5M,15.5M
2023-12-01,16:00,USD,FOMC Member Powell Speaks,high,,,
2023-12-01,19:00,USD,FOMC Member Powell Speaks,high,,,
2023-12-01,19:00,USD,FOMC Member Cook Speaks,low,,,
2023-12-03,21:45,NZD,Overseas Trade Index q/q,low,-0.6%,-2.1%,0.4%
2023-12-03,23:50,JPY,Monetary Base y/y,low,8.9%,8.9%,9.0%
2023-12-04,00:00,AUD,MI Inflation Gauge m/m,low,0.3%,,-0.1%
2023-12-04,00:30,AUD,ANZ Job Advertisements m/m,low,-4.6%,,-3.0%
2023-12-04,00:30,AUD,Company Operating Profits q/q,low,-1.3%,1.2%,-13.1%
2023-12-04,07:00,EUR,German Trade Balance,low,17.8B,17.1B,16.5B
2023-12-04,07:30,CHF,CPI m/m,high,-0.2%,0.0%,0.1%
2023-12-04,08:00,EUR,Spanish Unemployment Change,low,-24.6K,28.1K,36.9K
2023-12-04,09:30,EUR,Sentix Investor Confidence,low,-16.8,-15.0,-18.6
2023-12-04,11:30,GBP,MPC Member Dhingra Speaks,low,,,
2023-12-04,14:00,EUR,ECB President Lagarde Speaks,medium,,,
2023-12-04,15:00,USD,Factory Orders m/m,low,-3.6%,-2.7%,2.8%
2023-12-04,23:30,JPY,Tokyo Core CPI y/y,medium,2.3%,2.4%,2.7%
2023-12-05,00:00,NZD,ANZ Commodity Prices m/m,low,-1.3%,,2.9%
2023-12-05,00:01,GBP,BRC Retail Sales Monitor y/y,low,2.6%,2.5%,2.6%
2023-12-05,00:30,AUD,Current Account,low,-0.2B,3.3B,7.7B
2023-12-05,00:30,AUD,Household Spending m/m,low,-0.5%,,3.1%
2023-12-05,01:45,CNY,RatingDog Services PMI,medium,51.5,50.5,50.4
2023-12-05,03:30,AUD,Cash Rate,high,4.35%,4.35%,4.35%
2023-12-05,03:30,AUD,RBA Rate Statement,high,,,
2023-12-05,03:35,JPY,10-y Bond Auction,low,0.702.8,,0.913.6
2023-12-05,07:45,EUR,French Industrial Production m/m,low,-0.3%,0.2%,-0.5%
2023-12-05,08:15,EUR,Spanish Services PMI,low,51.0,51.6,51.1
2023-12-05,08:45,EUR,Italian Services PMI,low,49.5,48.3,47.7
2023-12-05,08:50,EUR,French Final Services PMI,low,45.4,45.3,45.3
2023-12-05,08:55,EUR,German Final Services PMI,low,49.6,48.7,48.7
2023-12-05,09:00,EUR,Final Services PMI,low,48.7,48.2,48.2
2023-12-05,09:30,GBP,Final Services PMI,low,50.9,50.5,50.5
2023-12-05,10:00,EUR,PPI m/m,low,0.2%,0.2%,0.5%
2023-12-05,14:17,NZD,GDT Price Index,low,1.6%,,0.0%
2023-12-05,14:45,USD,Final Services PMI,low,50.8,50.8,50.8
