date,time,currency,event,impact,actual,forecast,previous
2024-06-02,09:15,All,OPEC-JMMC Meetings,medium,,,
2024-06-02,10:15,All,OPEC Meetings,medium,,,
2024-06-02,20:00,NZD,Bank Holiday,holiday,,,
2024-06-02,23:50,JPY,Capital Spending q/y,low,6.8%,12.2%,16.4%
2024-06-03,00:30,JPY,Final Manufacturing PMI,low,50.4,50.5,50.5
2024-06-03,01:00,AUD,MI Inflation Gauge m/m,low,0.3%,,0.1%
2024-06-03,01:45,CNY,RatingDog Manufacturing PMI,low,51.7,51.6,51.4
2024-06-03,06:30,AUD,Commodity Prices y/y,low,-4.2%,,-11.6%
2024-06-03,07:15,EUR,Spanish Manufacturing PMI,low,54.0,52.5,52.2
2024-06-03,07:30,CHF,Manufacturing PMI,low,46.4,45.4,41.4
2024-06-03,07:45,EUR,Italian Manufacturing PMI,low,45.6,47.9,47.3
2024-06-03,07:50,EUR,French Final Manufacturing PMI,low,46.4,46.7,46.7
2024-06-03,07:55,EUR,German Final Manufacturing PMI,low,45.4,45.4,45.4
2024-06-03,08:00,EUR,Final Manufacturing PMI,low,47.3,47.4,47.4
2024-06-03,08:30,GBP,Final Manufacturing PMI,low,51.2,51.3,51.3
2024-06-03,13:30,CAD,Manufacturing PMI,low,49.3,,49.4
2024-06-03,13:45,USD,Final Manufacturing PMI,high,51.3,50.9,50.9
2024-06-03,14:00,USD,ISM Manufacturing PMI,high,48.7,49.8,49.2
2024-06-03,14:00,USD,ISM Manufacturing Prices,medium,57.0,60.0,60.9
2024-06-03,14:00,USD,Construction Spending m/m,low,-0.1%,0.2%,-0.2%
2024-06-03,14:15,USD,Omdia Total Vehicle Sales,low,15.9M,15.8M,15.7M
2024-06-03,23:01,GBP,BRC Retail Sales Monitor y/y,low,0.4%,1.2%,-4.4%
2024-06-03,23:50,JPY,Monetary Base y/y,low,0.9%,2.2%,2.1%
2024-06-04,01:30,AUD,Company Operating Profits q/q,low,-2.5%,-0.9%,7.4%
2024-06-04,01:30,AUD,Current Account,low,-4.9B,5.6B,11.8B
2024-06-04,03:35,JPY,10-y Bond Auction,low,1.053.7,,0.863.2
2024-06-04,06:30,CHF,CPI m/m,high,0.3%,0.3%,0.3%
2024-06-04,06:45,EUR,French Gov Budget Balance,low,-91.6B,,-52.8B
2024-06-04,07:00,EUR,Spanish Unemployment Change,low,-58.7K,-55.4K,-60.5K
2024-06-04,07:55,EUR,German Unemployment Change,low,25K,7K,10K
2024-06-04,14:00,USD,JOLTS Job Openings,high,8.06M,8.37M,8.49M
2024-06-04,14:00,USD,Factory Orders m/m,low,0.7%,0.7%,1.6%
2024-06-04,14:02,USD,RCM/TIPP Economic Optimism,low,40.5,45.2,41.8
2024-06-04,15:11,NZD,GDT Price Index,low,1.7%,,3.3%
2024-06-04,20:30,USD,API Weekly Statistical Bulletin,low,,,
2024-06-04,22:45,NZD,Overseas Trade Index q/q,low,5.1%,3.1%,-7.8%
2024-06-04,23:30,JPY,Average Cash Earnings y/y,low,2.1%,1.7%,0.6%
2024-06-05,01:30,AUD,GDP q/q,high,0.1%,0.2%,0.2%
2024-06-05,01:45,CNY,RatingDog Services PMI,low,54.0,52.5,52.5
2024-06-05,06:45,EUR,French Industrial Production m/m,low,0.5%,0.3%,-0.3%
2024-06-05,07:15,EUR,Spanish Services PMI,low,56.9,56.5,56.2
2024-06-05,07:45,EUR,Italian Services PMI,low,54.2,54.4,54.3
2024-06-05,07:50,EUR,French Final Services PMI,low,49.3,49.4,49.4
2024-06-05,07:55,EUR,German Final Services PMI,low,54.2,53.9,53.9
2024-06-05,08:00,EUR,Final Services PMI,low,53.2,53.3,53.3
2024-06-05,08:30,GBP,Final Services PMI,low,52.9,52.9,52.9
2024-06-05,09:00,EUR,PPI m/m,low,-1.0%,-0.6%,-0.4%
2024-06-05,12:15,USD,ADP Non-Farm Employment Change,high,152K,173K,192K
2024-06-05,12:30,CAD,Labor Productivity q/q,low,-0.3%,-0.2%,0.4%
2024-06-05,13:45,CAD,BOC Rate Statement,high,,,
2024-06-05,13:45,CAD,Overnight Rate,high,4.75%,4.75%,5.00%
2024-06-05,13:45,USD,Final Services PMI,medium,54.8,54.8,54.8
2024-06-05,14:00,USD,ISM Services PMI,high,53.8,51.0,49.4
2024-06-05,14:30,CAD,BOC Press Conference,high,,,
2024-06-05,14:30,USD,Crude Oil Inventories,low,1.2M,-2.1M,-4.2M
2024-06-06,01:00,NZD,ANZ Commodity Prices m/m,low,1.1%,,0.5%
2024-06-06,01:30,AUD,Goods Trade Balance,low,6.55B,5.37B,5.02B
2024-06-06,03:35,JPY,30-y Bond Auction,low,2.163.6,,1.993.2
2024-06-06,05:45,CHF,Unemployment Rate,low,2.4%,2.3%,2.3%
2024-06-06,06:00,EUR,German Factory Orders m/m,low,-0.2%,0.6%,-0.4%
2024-06-06,08:00,EUR,Italian Retail Sales m/m,low,-0.1%,0.3%,0.0%
2024-06-06,08:30,GBP,Construction PMI,medium,54.7,52.5,53.0
2024-06-06,08:58,EUR,French 10-y Bond Auction,low,3.052.0,,3.032.2
2024-06-06,09:00,EUR,Retail Sales m/m,low,-0.5%,-0.2%,0.8%
2024-06-06,10:16,EUR,European Parliamentary Elections,medium,,,
2024-06-06,11:30,USD,Challenger Job Cuts y/y,low,-20.3%,,-3.3%
2024-06-06,12:15,EUR,Main Refinancing Rate,high,4.25%,4.25%,4.50%
2024-06-06,12:15,EUR,Monetary Policy Statement,high,,,
2024-06-06,12:30,CAD,Trade Balance,low,-1.0B,-1.2B,-2.3B
2024-06-06,12:30,USD,Unemployment Claims,high,229K,220K,219K
2024-06-06,12:30,USD,Revised Nonfarm Productivity q/q,low,0.2%,0.1%,0.3%
2024-06-06,12:30,USD,Revised Unit Labor Costs q/q,low,4.0%,4.8%,4.7%
2024-06-06,12:30,USD,Trade Balance,low,-74.6B,-76.2B,-69.4B
2024-06-06,12:45,EUR,ECB Press Conference,high,,,
2024-06-06,14:00,CAD,Ivey PMI,medium,52.0,65.2,63.0
2024-06-06,14:30,USD,Natural Gas Storage,low,98B,89B,84B
2024-06-06,22:45,NZD,Manufacturing Sales q/q,low,0.7%,,-0.7%
2024-06-06,23:30,JPY,Household Spending y/y,low,0.5%,0.6%,-1.2%
2024-06-07,01:30,AUD,Household Spending m/m,low,0.8%,,-0.7%
2024-06-07,03:00,AUD,RBA Deputy Gov Hauser Speaks,low,,,
2024-06-07,03:03,CNY,Trade Balance,low,586B,523B,513B
2024-06-07,03:04,CNY,USD-Denominated Trade Balance,low,82.6B,72.2B,72.4B
2024-06-07,05:00,JPY,Leading Indicators,low,111.6%,111.6%,111.4%
2024-06-07,06:00,EUR,German Industrial Production m/m,low,-0.1%,0.1%,-0.4%
2024-06-07,06:00,EUR,German Trade Balance,low,22.1B,22.6B,22.3B
2024-06-07,06:00,GBP,Halifax HPI m/m,low,-0.1%,0.3%,0.1%
2024-06-07,06:45,EUR,French Trade Balance,low,-7.6B,-5.4B,-5.5B
2024-06-07,07:00,CHF,Foreign Currency Reserves,low,718B,,720B
2024-06-07,07:00,EUR,German Buba President Nagel Speaks,low,,,
2024-06-07,09:00,EUR,Final Employment Change q/q,low,0.3%,0.3%,0.3%
2024-06-07,09:00,EUR,Revised GDP q/q,low,0.3%,0.3%,0.3%
2024-06-07,10:03,EUR,German Buba Monthly Report,low,,,
2024-06-07,10:16,EUR,European Parliamentary Elections,medium,,,
2024-06-07,12:30,CAD,Employment Change,high,26.7K,24.8K,90.4K
2024-06-07,12:30,CAD,Unemployment Rate,high,6.2%,6.2%,6.1%
2024-06-07,12:30,CAD,Capacity Utilization Rate,low,78.5%,78.8%,78.7%
2024-06-07,12:30,USD,Average Hourly Earnings m/m,high,0.4%,0.3%,0.2%
2024-06-07,12:30,USD,Non-Farm Employment Change,high,272K,182K,175K
2024-06-07,12:30,USD,Unemployment Rate,high,4.0%,3.9%,3.9%
2024-06-07,14:00,USD,Final Wholesale Inventories m/m,low,0.1%,0.2%,0.2%
2024-06-07,16:00,USD,FOMC Member Cook Speaks,low,,,
2024-06-07,19:00,USD,Consumer Credit m/m,low,6.4B,9.3B,6.3B
2024-06-08,10:16,EUR,European Parliamentary Elections,medium,,,
2024-06-09,10:16,EUR,European Parliamentary Elections,high,,,
2024-06-09,21:00,AUD,Bank Holiday,holiday,,,
2024-06-09,23:50,JPY,Bank Lending y/y,low,3.0%,3.1%,3.1%
2024-06-09,23:50,JPY,Current Account,low,2.52T,2.09T,2.01T
2024-06-09,23:50,JPY,Final GDP Price Index y/y,low,3.4%,3.6%,3.6%
2024-06-09,23:50,JPY,Final GDP q/q,low,-0.5%,-0.5%,-0.5%
2024-06-10,00:01,CNY,Bank Holiday,holiday,,,
2024-06-10,05:00,JPY,Economy Watchers Sentiment,low,45.7,48.6,47.4
2024-06-10,07:00,CHF,SECO Consumer Climate,low,-38,-37,-38
2024-06-10,08:00,EUR,Italian Industrial Production m/m,low,-1.0%,0.3%,-0.5%
2024-06-10,08:30,EUR,Sentix Investor Confidence,low,0.3,-1.5,-3.6
2024-06-10,09:30,EUR,German Buba President Nagel Speaks,low,,,
2024-06-10,23:50,JPY,M2 Money Stock y/y,low,1.9%,2.1%,2.2%
2024-06-11,01:30,AUD,NAB Business Confidence,low,-3,,1
2024-06-11,05:58,JPY,Prelim Machine Tool Orders y/y,low,4.2%,,-11.6%
2024-06-11,06:00,GBP,Claimant Count Change,high,50.4K,10.2K,8.9K
2024-06-11,06:00,GBP,Average Earnings Index 3m/y,medium,5.9%,5.7%,5.7%
2024-06-11,06:00,GBP,Unemployment Rate,low,4.4%,4.3%,4.3%
2024-06-11,10:00,USD,NFIB Small Business Index,low,90.5,89.8,89.7
2024-06-11,12:30,CAD,Building Permits m/m,low,20.5%,4.9%,-11.7%
2024-06-11,13:30,GBP,CB Leading Index m/m,low,-0.1%,,-0.1%
2024-06-11,17:01,USD,10-y Bond Auction,medium,4.442.7,,4.482.5
2024-06-11,20:30,USD,API Weekly Statistical Bulletin,low,,,
2024-06-11,22:45,NZD,Visitor Arrivals m/m,low,-9.4%,,9.1%
2024-06-11,23:50,JPY,PPI y/y,low,2.4%,2.0%,0.9%
2024-06-12,01:30,CNY,CPI y/y,medium,0.3%,0.4%,0.3%
2024-06-12,01:30,CNY,PPI y/y,medium,-1.4%,-1.5%,-2.5%
2024-06-12,06:00,EUR,German Final CPI m/m,low,0.1%,0.1%,0.1%
2024-06-12,06:00,GBP,GDP m/m,high,0.0%,0.0%,0.4%
2024-06-12,06:00,GBP,Construction Output m/m,low,-1.4%,0.1%,-0.4%
2024-06-12,06:00,GBP,Goods Trade Balance,low,-19.6B,-14.2B,-14.0B
2024-06-12,06:00,GBP,Index of Services 3m/3m,low,0.9%,0.8%,0.7%
2024-06-12,06:00,GBP,Industrial Production m/m,low,-0.9%,-0.1%,0.2%
2024-06-12,06:00,GBP,Manufacturing Production m/m,low,-1.4%,-0.2%,0.3%
2024-06-12,09:15,EUR,Eurogroup Meetings,low,,,
2024-06-12,09:33,EUR,German 10-y Bond Auction,low,2.602.0,,2.532.8
2024-06-12,11:01,GBP,NIESR GDP Estimate,low,0.7%,,0.7%
2024-06-12,12:30,USD,Core CPI m/m,high,0.2%,0.3%,0.3%
2024-06-12,12:30,USD,Core CPI y/y,high,3.4%,3.5%,3.6%
2024-06-12,12:30,USD,CPI m/m,high,0.0%,0.1%,0.3%
2024-06-12,12:30,USD,CPI y/y,high,3.3%,3.4%,3.4%
2024-06-12,14:30,USD,Crude Oil Inventories,low,3.7M,-1.2M,1.2M
2024-06-12,18:00,USD,Federal Funds Rate,high,5.50%,5.50%,5.50%
2024-06-12,18:00,USD,FOMC Economic Projections,high,,,
2024-06-12,18:00,USD,FOMC Statement,high,,,
2024-06-12,18:00,USD,Federal Budget Balance,low,-347.1B,-279.6B,209.5B
2024-06-12,18:30,USD,FOMC Press Conference,high,,,
2024-06-12,19:15,CAD,BOC Gov Macklem Speaks,high,,,
2024-06-12,19:30,EUR,German Buba President Nagel Speaks,low,,,
2024-06-12,23:01,GBP,RICS House Price Balance,low,-17%,-5%,-5%
2024-06-12,23:50,JPY,BSI Manufacturing Index,low,-1.0,-5.2,-6.7
2024-06-13,01:30,AUD,Employment Change,high,39.7K,30.5K,38.5K
2024-06-13,01:30,AUD,Unemployment Rate,high,4.0%,4.0%,4.1%
2024-06-13,06:00,EUR,German WPI m/m,low,0.1%,0.3%,0.4%
2024-06-13,06:30,CHF,PPI m/m,low,-0.3%,0.5%,0.6%
2024-06-13,08:00,EUR,Italian Quarterly Unemployment Rate,low,7.2%,7.4%,7.4%
2024-06-13,08:45,All,G7 Meetings,low,,,
2024-06-13,09:00,EUR,Industrial Production m/m,low,-0.1%,0.1%,0.6%
2024-06-13,12:30,USD,Core PPI m/m,high,0.0%,0.3%,0.5%
2024-06-13,12:30,USD,PPI m/m,high,-0.2%,0.1%,0.5%
2024-06-13,12:30,USD,Unemployment Claims,high,242K,225K,229K
2024-06-13,13:35,CAD,Gov Council Member Kozicki Speaks,low,,,
2024-06-13,14:30,USD,Natural Gas Storage,low,74B,73B,98B
2024-06-13,16:00,USD,Treasury Sec Yellen Speaks,medium,,,
2024-06-13,16:00,USD,FOMC Member Williams Speaks,low,,,
2024-06-13,17:00,CAD,BOC Gov Macklem Speaks,high,,,
2024-06-13,17:01,USD,30-y Bond Auction,medium,4.402.5,,4.642.4
2024-06-13,22:30,NZD,BusinessNZ Manufacturing Index,low,47.2,,48.9
2024-06-13,22:45,NZD,FPI m/m,low,-0.2%,,0.6%
2024-06-14,03:23,JPY,BOJ Policy Rate,high,<0.10%,<0.10%,<0.10%
2024-06-14,03:23,JPY,Monetary Policy Statement,high,,,
2024-06-14,04:29,JPY,Revised Industrial Production m/m,low,-0.9%,-0.1%,-0.1%
