date,time,currency,event,impact,actual,forecast,previous
2023-08-01,00:30,JPY,Final Manufacturing PMI,low,49.6,49.4,49.4
2023-08-01,01:30,AUD,Building Approvals m/m,low,-7.7%,-7.9%,20.6%
2023-08-01,01:45,CNY,RatingDog Manufacturing PMI,medium,49.2,50.1,50.5
2023-08-01,03:35,JPY,10-y Bond Auction,low,0.593.6,,0.434.0
2023-08-01,04:30,AUD,Cash Rate,high,4.10%,4.35%,4.10%
2023-08-01,04:30,AUD,RBA Rate Statement,high,,,
2023-08-01,06:00,GBP,Nationwide HPI m/m,low,-0.2%,-0.5%,0.1%
2023-08-01,06:00,CHF,Bank Holiday,holiday,,,
2023-08-01,06:30,AUD,Commodity Prices y/y,low,-23.5%,,-21.5%
2023-08-01,07:15,EUR,Spanish Manufacturing PMI,low,47.8,48.2,48.0
2023-08-01,07:45,EUR,Italian Manufacturing PMI,low,44.5,44.4,43.8
2023-08-01,07:50,EUR,French Final Manufacturing PMI,low,45.1,44.5,44.5
2023-08-01,07:55,EUR,German Final Manufacturing PMI,low,38.8,38.8,38.8
2023-08-01,07:55,EUR,German Unemployment Change,low,-4K,19K,28K
2023-08-01,08:00,EUR,Final Manufacturing PMI,low,42.7,42.7,42.7
2023-08-01,08:00,EUR,Italian Monthly Unemployment Rate,low,7.4%,7.7%,7.6%
2023-08-01,08:30,GBP,Final Manufacturing PMI,low,45.3,45.0,45.0
2023-08-01,09:00,EUR,Unemployment Rate,low,6.4%,6.5%,6.5%
2023-08-01,13:30,CAD,Manufacturing PMI,low,49.6,,48.8
2023-08-01,13:45,USD,Final Manufacturing PMI,low,49.0,49.0,49.0
2023-08-01,14:00,USD,ISM Manufacturing PMI,high,46.4,46.9,46.0
2023-08-01,14:00,USD,JOLTS Job Openings,high,9.58M,9.61M,9.82M
2023-08-01,14:00,USD,ISM Manufacturing Prices,medium,42.6,43.8,41.8
2023-08-01,14:00,USD,Construction Spending m/m,low,0.5%,0.6%,0.9%
2023-08-01,14:00,USD,FOMC Member Goolsbee Speaks,low,,,
2023-08-01,14:15,USD,Omdia Total Vehicle Sales,low,15.7M,15.7M,15.7M
2023-08-01,14:42,NZD,GDT Price Index,low,-4.3%,,-1.0%
2023-08-01,20:30,USD,API Weekly Statistical Bulletin,low,,,
2023-08-01,22:45,NZD,Employment Change q/q,high,1.0%,0.6%,0.8%
2023-08-01,22:45,NZD,Unemployment Rate,high,3.6%,3.5%,3.4%
2023-08-01,22:45,NZD,Labor Cost Index q/q,low,1.1%,1.2%,0.9%
2023-08-01,23:50,JPY,Monetary Base y/y,low,-1.3%,-0.7%,-1.0%
2023-08-01,23:50,JPY,Monetary Policy Meeting Minutes,low,,,
2023-08-02,07:00,CHF,SECO Consumer Climate,low,-27,-25,-30
