date,time,currency,event,impact,actual,forecast,previous
2022-02-01,00:01,CNY,Bank Holiday,holiday,,,
2022-02-01,00:30,AUD,Retail Sales m/m,low,-4.4%,-1.9%,7.3%
2022-02-01,00:30,JPY,Final Manufacturing PMI,low,55.4,54.6,54.6
2022-02-01,03:30,AUD,Cash Rate,high,0.10%,0.10%,0.10%
2022-02-01,03:30,AUD,RBA Rate Statement,high,,,
2022-02-01,03:35,JPY,10-y Bond Auction,low,0.183.3,,0.103.5
2022-02-01,05:30,AUD,Commodity Prices y/y,low,25.3%,,25.7%
2022-02-01,07:00,EUR,German Retail Sales m/m,low,-5.5%,-1.3%,0.6%
2022-02-01,07:00,GBP,Nationwide HPI m/m,low,0.8%,0.7%,1.0%
2022-02-01,07:30,CHF,Retail Sales y/y,low,-0.4%,5.5%,5.8%
2022-02-01,07:45,EUR,French Prelim CPI m/m,low,0.3%,-0.2%,0.2%
2022-02-01,08:00,CHF,SECO Consumer Climate,low,-4,3,4
2022-02-01,08:15,EUR,Spanish Manufacturing PMI,low,56.2,56.1,56.2
2022-02-01,08:30,CHF,Manufacturing PMI,low,63.8,63.9,62.7
2022-02-01,08:45,EUR,Italian Manufacturing PMI,low,58.3,61.2,62.0
2022-02-01,08:50,EUR,French Final Manufacturing PMI,low,55.5,55.5,55.5
2022-02-01,08:55,EUR,German Final Manufacturing PMI,low,59.8,60.5,60.5
2022-02-01,08:55,EUR,German Unemployment Change,low,-48K,-4K,-23K
2022-02-01,09:00,EUR,Final Manufacturing PMI,low,58.7,59.0,59.0
2022-02-01,09:00,EUR,Italian Monthly Unemployment Rate,low,9.0%,9.2%,9.2%
2022-02-01,09:30,GBP,Final Manufacturing PMI,low,57.3,56.9,56.9
2022-02-01,09:30,GBP,M4 Money Supply m/m,low,0.1%,0.8%,0.7%
2022-02-01,09:30,GBP,Mortgage Approvals,low,71K,66K,67K
2022-02-01,09:30,GBP,Net Lending to Individuals m/m,low,4.4B,4.0B,4.9B
2022-02-01,10:00,EUR,Unemployment Rate,low,7.0%,7.1%,7.2%
2022-02-01,13:30,CAD,GDP m/m,high,0.6%,0.4%,0.8%
2022-02-01,14:30,CAD,Manufacturing PMI,low,56.2,,56.5
2022-02-01,14:37,NZD,GDT Price Index,low,4.1%,,4.6%
2022-02-01,14:45,USD,Final Manufacturing PMI,low,55.5,55.0,55.0
2022-02-01,15:00,USD,ISM Manufacturing PMI,high,57.6,57.4,58.7
2022-02-01,15:00,USD,JOLTS Job Openings,high,10.93M,10.35M,10.56M
2022-02-01,15:00,USD,Construction Spending m/m,low,0.2%,0.7%,0.4%
2022-02-01,15:00,USD,ISM Manufacturing Prices,low,76.1,67.6,68.2
2022-02-01,15:15,USD,Omdia Total Vehicle Sales,low,15.0M,13.0M,12.4M
2022-02-01,21:30,USD,API Weekly Statistical Bulletin,low,,,
2022-02-01,21:45,NZD,Employment Change q/q,high,0.1%,0.4%,2.0%
2022-02-01,21:45,NZD,Unemployment Rate,high,3.2%,3.3%,3.4%
2022-02-01,21:45,NZD,Labor Cost Index q/q,low,0.7%,0.9%,0.7%
2022-02-01,23:50,JPY,Monetary Base y/y,low,8.4%,8.5%,8.3%
2022-02-02,00:01,GBP,BRC Shop Price Index y/y,low,1.5%,,0.8%
2022-02-02,00:01,CNY,Bank Holiday,holiday,,,
2022-02-02,01:30,AUD,RBA Gov Lowe Speaks,high,,,
2022-02-02,07:45,EUR,French Gov Budget Balance,low,-170.7B,,-181.0B
2022-02-02,08:00,EUR,Spanish Unemployment Change,medium,17.2K,-50.7K,-76.8K
2022-02-02,10:00,EUR,Core CPI Flash Estimate y/y,low,2.3%,1.9%,2.6%
2022-02-02,10:00,EUR,CPI Flash Estimate y/y,low,5.1%,4.4%,5.0%
2022-02-02,10:00,EUR,Italian Prelim CPI m/m,low,1.6%,0.5%,0.4%
2022-02-02,10:15,All,OPEC-JMMC Meetings,high,,,
2022-02-02,13:15,USD,ADP Non-Farm Employment Change,high,-301K,185K,807K
2022-02-02,13:30,CAD,Building Permits m/m,low,-1.9%,-1.6%,6.8%
2022-02-02,15:00,CAD,Gov Council Member Gravelle Speaks,low,,,
2022-02-02,15:30,USD,Crude Oil Inventories,medium,-1.0M,1.8M,2.4M
2022-02-02,20:00,CAD,BOC Gov Macklem Speaks,high,,,
