date,time,currency,event,impact,actual,forecast,previous
2024-05-01,00:01,CNY,Bank Holiday,holiday,,,
2024-05-01,00:30,JPY,Final Manufacturing PMI,low,49.6,49.9,49.9
2024-05-01,01:00,NZD,RBNZ Gov Orr Speaks,medium,,,
2024-05-01,05:00,CHF,Bank Holiday,holiday,,,
2024-05-01,06:00,GBP,Nationwide HPI m/m,low,-0.4%,0.1%,-0.2%
2024-05-01,06:01,EUR,French Bank Holiday,holiday,,,
2024-05-01,06:02,EUR,German Bank Holiday,holiday,,,
2024-05-01,06:03,EUR,Italian Bank Holiday,holiday,,,
2024-05-01,06:30,AUD,Commodity Prices y/y,low,-11.6%,,-15.3%
2024-05-01,08:30,GBP,Final Manufacturing PMI,low,49.1,48.7,48.7
2024-05-01,09:03,GBP,10-y Bond Auction,low,4.373.1,,4.013.3
2024-05-01,12:15,USD,ADP Non-Farm Employment Change,high,192K,179K,184K
2024-05-01,13:30,CAD,Manufacturing PMI,low,49.4,,49.8
2024-05-01,13:45,USD,Final Manufacturing PMI,high,50.0,49.9,49.9
2024-05-01,14:00,USD,ISM Manufacturing PMI,high,49.2,50.0,50.3
2024-05-01,14:00,USD,JOLTS Job Openings,high,8.49M,8.68M,8.76M
2024-05-01,14:00,USD,ISM Manufacturing Prices,medium,60.9,55.5,55.8
2024-05-01,14:00,USD,Construction Spending m/m,low,-0.2%,0.3%,-0.3%
2024-05-01,14:15,USD,Omdia Total Vehicle Sales,low,15.7M,15.7M,15.5M
2024-05-01,14:30,USD,Crude Oil Inventories,low,7.3M,-2.3M,-6.4M
2024-05-01,18:00,USD,Federal Funds Rate,high,5.50%,5.50%,5.50%
2024-05-01,18:00,USD,FOMC Statement,high,,,
2024-05-01,18:30,USD,FOMC Press Conference,high,,,
2024-05-01,20:15,CAD,BOC Gov Macklem Speaks,high,,,
2024-05-01,22:45,NZD,Building Consents m/m,low,-0.2%,,14.9%
2024-05-01,23:50,JPY,Monetary Base y/y,low,2.1%,1.7%,1.6%
2024-05-01,23:50,JPY,Monetary Policy Meeting Minutes,low,,,
2024-05-02,00:01,CNY,Bank Holiday,holiday,,,
2024-05-02,01:30,AUD,Building Approvals m/m,low,1.9%,3.5%,-1.9%
2024-05-02,01:30,AUD,Goods Trade Balance,low,5.02B,7.19B,7.28B
2024-05-02,04:59,JPY,Consumer Confidence,low,38.3,39.7,39.5
2024-05-02,06:30,CHF,CPI m/m,high,0.3%,0.1%,0.0%
2024-05-02,06:30,CHF,Retail Sales y/y,low,-0.1%,0.2%,-0.2%
2024-05-02,07:15,EUR,Spanish Manufacturing PMI,low,52.2,51.3,51.4
2024-05-02,07:30,CHF,Manufacturing PMI,low,41.4,45.5,45.2
2024-05-02,07:45,EUR,Italian Manufacturing PMI,low,47.3,50.3,50.4
2024-05-02,07:50,EUR,French Final Manufacturing PMI,low,45.3,44.9,44.9
2024-05-02,07:55,EUR,German Final Manufacturing PMI,low,42.5,42.2,42.2
2024-05-02,08:00,EUR,Final Manufacturing PMI,low,45.7,45.6,45.6
2024-05-02,08:58,EUR,French 10-y Bond Auction,low,3.032.2,,2.871.9
2024-05-02,11:30,USD,Challenger Job Cuts y/y,low,-3.3%,,0.7%
2024-05-02,12:30,CAD,Trade Balance,low,-2.3B,1.1B,1.4B
2024-05-02,12:30,USD,Unemployment Claims,high,208K,212K,207K
2024-05-02,12:30,USD,Prelim Nonfarm Productivity q/q,low,0.3%,0.8%,3.2%
2024-05-02,12:30,USD,Prelim Unit Labor Costs q/q,low,4.7%,3.6%,0.5%
2024-05-02,12:30,USD,Trade Balance,low,-69.4B,-69.5B,-68.9B
2024-05-02,12:45,CAD,BOC Gov Macklem Speaks,high,,,
2024-05-02,14:00,USD,Factory Orders m/m,low,1.6%,1.6%,1.4%
2024-05-02,14:30,USD,Natural Gas Storage,low,59B,68B,92B
2024-05-02,23:00,JPY,Bank Holiday,holiday,,,
2024-05-03,00:01,CNY,Bank Holiday,holiday,,,
2024-05-03,01:30,AUD,Household Spending m/m,low,-0.7%,,3.8%
2024-05-03,06:45,EUR,French Gov Budget Balance,low,-52.8B,,-44.0B
