date,time,currency,event,impact,actual,forecast,previous
2023-04-01,02:00,USD,FOMC Member Waller Speaks,medium,,,
2023-04-01,14:00,NZD,Daylight Saving Time Shift,holiday,,,
2023-04-01,16:00,AUD,Daylight Saving Time Shift,holiday,,,
2023-04-02,23:50,JPY,Tankan Manufacturing Index,low,1,3,7
2023-04-02,23:50,JPY,Tankan Non-Manufacturing Index,low,20,20,19
2023-04-03,00:01,CNY,Bank Holiday,holiday,,,
2023-04-03,00:30,JPY,Final Manufacturing PMI,low,49.2,48.6,48.6
2023-04-03,01:00,AUD,MI Inflation Gauge m/m,low,0.3%,,0.4%
2023-04-03,01:30,AUD,ANZ Job Advertisements m/m,low,-2.4%,,-0.5%
2023-04-03,01:30,AUD,Building Approvals m/m,low,4.0%,10.4%,-27.6%
2023-04-03,01:45,CNY,RatingDog Manufacturing PMI,low,50.0,51.4,51.6
2023-04-03,06:30,AUD,Commodity Prices y/y,low,-9.1%,,3.6%
2023-04-03,06:30,CHF,CPI m/m,high,0.2%,0.4%,0.7%
2023-04-03,06:45,EUR,French Gov Budget Balance,low,-50.3B,,-21.1B
2023-04-03,07:15,EUR,Spanish Manufacturing PMI,low,51.3,50.1,50.7
2023-04-03,07:30,CHF,Manufacturing PMI,low,47.0,48.5,48.9
2023-04-03,07:45,EUR,Italian Manufacturing PMI,low,51.1,51.1,52.0
2023-04-03,07:50,EUR,French Final Manufacturing PMI,low,47.3,47.7,47.7
2023-04-03,07:55,EUR,German Final Manufacturing PMI,low,44.7,44.4,44.4
2023-04-03,08:00,EUR,Final Manufacturing PMI,low,47.3,47.1,47.1
2023-04-03,08:30,GBP,Final Manufacturing PMI,low,47.9,48.0,48.0
2023-04-03,10:15,All,OPEC-JMMC Meetings,medium,,,
2023-04-03,13:30,CAD,Manufacturing PMI,low,48.6,,52.4
2023-04-03,13:45,USD,Final Manufacturing PMI,low,49.2,49.3,49.3
2023-04-03,14:00,USD,ISM Manufacturing PMI,high,46.3,47.5,47.7
2023-04-03,14:00,USD,ISM Manufacturing Prices,medium,49.2,51.2,51.3
2023-04-03,14:00,USD,Construction Spending m/m,low,-0.1%,0.0%,-0.1%
2023-04-03,14:15,USD,Omdia Total Vehicle Sales,low,14.8M,14.5M,14.9M
2023-04-03,14:30,CAD,BOC Business Outlook Survey,medium,,,
2023-04-03,20:15,USD,FOMC Member Cook Speaks,low,,,
2023-04-03,22:00,NZD,NZIER Business Confidence,low,-66,,-70
2023-04-03,23:50,JPY,Monetary Base y/y,low,-1.0%,2.0%,-1.6%
2023-04-04,00:01,CNY,Bank Holiday,holiday,,,
2023-04-04,03:35,JPY,10-y Bond Auction,low,0.463.8,,0.507.6
2023-04-04,04:30,AUD,Cash Rate,high,3.60%,3.60%,3.60%
2023-04-04,04:30,AUD,RBA Rate Statement,high,,,
2023-04-04,06:00,EUR,German Trade Balance,low,16.0B,16.8B,16.7B
2023-04-04,07:00,EUR,Spanish Unemployment Change,low,-48.8K,8.5K,2.6K
2023-04-04,09:00,EUR,PPI m/m,low,-0.5%,-0.5%,-2.8%
2023-04-04,09:15,GBP,MPC Member Tenreyro Speaks,low,,,
2023-04-04,12:30,CAD,Building Permits m/m,low,8.6%,2.2%,-4.0%
2023-04-04,14:00,USD,JOLTS Job Openings,high,9.93M,10.49M,10.82M
2023-04-04,14:00,USD,Factory Orders m/m,low,-0.7%,-0.4%,-1.6%
2023-04-04,14:00,USD,RCM/TIPP Economic Optimism,low,47.4,47.2,46.9
2023-04-04,14:28,NZD,GDT Price Index,low,-4.7%,,-2.6%
2023-04-04,14:30,GBP,MPC Member Pill Speaks,low,,,
2023-04-04,17:30,USD,FOMC Member Cook Speaks,low,,,
2023-04-04,20:30,USD,API Weekly Statistical Bulletin,low,,,
2023-04-05,00:01,CNY,Bank Holiday,holiday,,,
2023-04-05,02:00,NZD,Official Cash Rate,high,5.25%,5.00%,4.75%
2023-04-05,02:00,NZD,RBNZ Rate Statement,high,,,
2023-04-05,02:30,AUD,RBA Gov Lowe Speaks,high,,,
2023-04-05,06:00,EUR,German Factory Orders m/m,low,4.8%,0.2%,1.0%
2023-04-05,06:45,EUR,French Industrial Production m/m,low,1.2%,0.5%,-1.9%
2023-04-05,07:15,EUR,Spanish Services PMI,low,59.4,57.6,56.7
2023-04-05,07:45,EUR,Italian Services PMI,low,55.7,53.8,51.6
2023-04-05,07:50,EUR,French Final Services PMI,low,53.9,55.5,55.5
2023-04-05,07:55,EUR,German Final Services PMI,low,53.7,53.9,53.9
2023-04-05,08:00,EUR,Final Services PMI,low,55.0,55.6,55.6
2023-04-05,08:30,GBP,Final Services PMI,low,52.9,52.8,52.8
2023-04-05,09:00,EUR,Italian Retail Sales m/m,low,-0.1%,0.5%,1.7%
2023-04-05,09:15,GBP,MPC Member Tenreyro Speaks,low,,,
2023-04-05,12:15,USD,ADP Non-Farm Employment Change,high,145K,208K,242K
2023-04-05,12:30,CAD,Trade Balance,low,0.4B,1.5B,1.9B
2023-04-05,12:30,USD,Trade Balance,low,-70.5B,-68.9B,-68.3B
2023-04-05,13:45,USD,Final Services PMI,low,52.6,53.8,53.8
2023-04-05,14:00,USD,ISM Services PMI,high,51.2,54.3,55.1
2023-04-05,14:30,USD,Crude Oil Inventories,low,-3.7M,-1.6M,-7.5M
2023-04-06,01:00,NZD,ANZ Commodity Prices m/m,low,1.3%,,1.3%
2023-04-06,01:30,AUD,Goods Trade Balance,low,13.87B,11.33B,11.69B
