date,time,currency,event,impact,actual,forecast,previous
2024-07-01,00:30,JPY,Final Manufacturing PMI,low,50.0,50.1,50.1
2024-07-01,01:00,AUD,MI Inflation Gauge m/m,low,0.3%,,0.3%
2024-07-01,01:30,AUD,ANZ Job Advertisements m/m,low,-2.2%,,-2.1%
2024-07-01,01:45,CNY,RatingDog Manufacturing PMI,low,51.8,51.5,51.7
2024-07-01,05:00,JPY,Consumer Confidence,low,36.4,36.4,36.2
2024-07-01,06:25,GBP,Nationwide HPI m/m,low,0.2%,0.0%,0.4%
2024-07-01,06:29,EUR,German Prelim CPI m/m,high,0.1%,0.2%,0.1%
2024-07-01,06:30,AUD,Commodity Prices y/y,low,-4.1%,,-4.2%
2024-07-01,06:30,CHF,Retail Sales y/y,low,0.4%,2.5%,2.7%
2024-07-01,07:15,EUR,Spanish Manufacturing PMI,low,52.3,53.1,54.0
2024-07-01,07:30,CHF,Manufacturing PMI,low,43.9,45.2,46.4
2024-07-01,07:45,EUR,Italian Manufacturing PMI,low,45.7,44.3,45.6
2024-07-01,07:50,EUR,French Final Manufacturing PMI,low,45.4,45.3,45.3
2024-07-01,07:55,EUR,German Final Manufacturing PMI,low,43.5,43.4,43.4
2024-07-01,08:00,EUR,Final Manufacturing PMI,low,45.8,45.6,45.6
2024-07-01,08:30,GBP,Final Manufacturing PMI,low,50.9,51.4,51.4
2024-07-01,08:30,GBP,M4 Money Supply m/m,low,-0.1%,0.2%,0.1%
2024-07-01,08:30,GBP,Mortgage Approvals,low,60K,60K,61K
2024-07-01,08:30,GBP,Net Lending to Individuals m/m,low,2.7B,3.3B,3.1B
2024-07-01,12:00,CAD,Bank Holiday,holiday,,,
2024-07-01,12:15,EUR,German Buba President Nagel Speaks,low,,,
2024-07-01,13:45,USD,Final Manufacturing PMI,medium,51.6,51.7,51.7
2024-07-01,14:00,USD,ISM Manufacturing PMI,high,48.5,49.2,48.7
2024-07-01,14:00,USD,ISM Manufacturing Prices,medium,52.1,55.8,57.0
2024-07-01,14:00,USD,Construction Spending m/m,low,-0.1%,0.3%,-0.1%
2024-07-01,19:00,EUR,ECB President Lagarde Speaks,medium,,,
2024-07-01,22:00,NZD,NZIER Business Confidence,low,-44,,-25
2024-07-01,22:45,NZD,Building Consents m/m,low,-1.7%,,-1.9%
2024-07-01,23:01,GBP,BRC Shop Price Index y/y,low,0.2%,,0.6%
2024-07-01,23:50,JPY,Monetary Base y/y,low,0.6%,1.0%,0.9%
2024-07-02,01:30,AUD,Monetary Policy Meeting Minutes,medium,,,
2024-07-02,03:35,JPY,10-y Bond Auction,low,1.093.2,,1.053.7
2024-07-02,07:00,EUR,Spanish Unemployment Change,low,-46.8K,-50.9K,-58.7K
2024-07-02,08:00,EUR,Italian Monthly Unemployment Rate,low,6.8%,6.9%,6.9%
2024-07-02,09:00,EUR,Core CPI Flash Estimate y/y,high,2.9%,2.8%,2.9%
2024-07-02,09:00,EUR,CPI Flash Estimate y/y,high,2.5%,2.5%,2.6%
2024-07-02,09:00,EUR,Unemployment Rate,low,6.4%,6.4%,6.4%
2024-07-02,13:30,CAD,Manufacturing PMI,low,49.3,,49.3
2024-07-02,13:30,EUR,ECB President Lagarde Speaks,medium,,,
2024-07-02,13:30,USD,FOMC Member Powell Speaks,high,,,
2024-07-02,14:00,USD,JOLTS Job Openings,high,8.14M,7.96M,8.06M
2024-07-02,14:15,USD,Omdia Total Vehicle Sales,low,15.3M,15.8M,15.9M
2024-07-02,14:40,USD,RCM/TIPP Economic Optimism,low,44.2,41.2,40.5
2024-07-02,14:48,NZD,GDT Price Index,low,-6.9%,,-0.5%
2024-07-02,20:30,USD,API Weekly Statistical Bulletin,low,,,
2024-07-03,01:00,NZD,ANZ Commodity Prices m/m,low,1.5%,,1.1%
2024-07-03,01:30,AUD,Retail Sales m/m,medium,0.6%,0.3%,0.1%
2024-07-03,01:30,AUD,Building Approvals m/m,low,5.5%,1.5%,-0.3%
2024-07-03,01:45,CNY,RatingDog Services PMI,low,51.2,53.4,54.0
2024-07-03,06:45,EUR,French Gov Budget Balance,low,-113.5B,,-91.6B
2024-07-03,07:15,EUR,Spanish Services PMI,low,56.8,56.5,56.9
2024-07-03,07:45,EUR,Italian Services PMI,low,53.7,53.9,54.2
2024-07-03,07:50,EUR,French Final Services PMI,low,49.6,48.8,48.8
2024-07-03,07:55,EUR,German Final Services PMI,low,53.1,53.5,53.5
2024-07-03,08:00,EUR,Final Services PMI,low,52.8,52.6,52.6
2024-07-03,08:30,GBP,Final Services PMI,low,52.1,51.2,51.2
