date,time,currency,event,impact,actual,forecast,previous
2023-07-02,22:45,NZD,Building Consents m/m,low,-2.2%,,-2.6%
2023-07-02,23:50,JPY,Tankan Manufacturing Index,low,5,3,1
2023-07-02,23:50,JPY,Tankan Non-Manufacturing Index,low,23,22,20
2023-07-03,00:30,JPY,Final Manufacturing PMI,low,49.8,49.8,49.8
2023-07-03,01:00,AUD,MI Inflation Gauge m/m,low,0.1%,,0.9%
2023-07-03,01:30,AUD,ANZ Job Advertisements m/m,low,-2.5%,,0.1%
2023-07-03,01:30,AUD,Building Approvals m/m,low,20.6%,3.1%,-8.1%
2023-07-03,01:45,CNY,RatingDog Manufacturing PMI,medium,50.5,50.0,50.9
2023-07-03,06:30,AUD,Commodity Prices y/y,low,-21.5%,,-22.2%
2023-07-03,06:30,CHF,CPI m/m,high,0.1%,0.2%,0.3%
2023-07-03,06:45,EUR,French Gov Budget Balance,low,-107.2B,,-83.7B
2023-07-03,07:15,EUR,Spanish Manufacturing PMI,medium,48.0,48.0,48.4
2023-07-03,07:30,CHF,Manufacturing PMI,low,44.9,42.8,43.2
2023-07-03,07:45,EUR,Italian Manufacturing PMI,low,43.8,45.4,45.9
2023-07-03,07:50,EUR,French Final Manufacturing PMI,low,46.0,45.5,45.5
2023-07-03,07:55,EUR,German Final Manufacturing PMI,low,40.6,41.0,41.0
2023-07-03,08:00,EUR,Final Manufacturing PMI,low,43.4,43.6,43.6
2023-07-03,08:30,GBP,Final Manufacturing PMI,low,46.5,46.2,46.2
2023-07-03,12:00,CAD,Bank Holiday,holiday,,,
2023-07-03,13:45,USD,Final Manufacturing PMI,low,46.3,46.3,46.3
2023-07-03,14:00,USD,ISM Manufacturing PMI,high,46.0,47.2,46.9
2023-07-03,14:00,USD,ISM Manufacturing Prices,medium,41.8,44.0,44.2
2023-07-03,14:00,USD,Construction Spending m/m,low,0.9%,0.4%,1.2%
2023-07-03,22:00,NZD,NZIER Business Confidence,low,-63,,-66
2023-07-03,23:50,JPY,Monetary Base y/y,low,-1.0%,-0.7%,-1.1%
2023-07-04,03:35,JPY,10-y Bond Auction,low,0.434.0,,0.443.7
2023-07-04,04:30,AUD,Cash Rate,high,4.10%,4.10%,4.10%
2023-07-04,04:30,AUD,RBA Rate Statement,high,,,
2023-07-04,06:00,EUR,German Trade Balance,low,14.4B,17.3B,18.4B
2023-07-04,07:00,EUR,Spanish Unemployment Change,low,-50.3K,-63.5K,-49.3K
2023-07-04,09:03,GBP,30-y Bond Auction,low,4.392.6,,4.482.6
2023-07-04,12:00,USD,Bank Holiday,holiday,,,
2023-07-04,13:30,CAD,Manufacturing PMI,low,48.8,,49.0
2023-07-04,14:15,NZD,GDT Price Index,low,-3.3%,,0.0%
2023-07-05,01:00,NZD,ANZ Commodity Prices m/m,low,-2.3%,,0.3%
2023-07-05,01:45,CNY,RatingDog Services PMI,medium,53.9,56.2,57.1
2023-07-05,06:45,EUR,French Industrial Production m/m,low,1.2%,-0.3%,0.8%
2023-07-05,07:15,EUR,Spanish Services PMI,low,53.4,55.8,56.7
2023-07-05,07:45,EUR,Italian Services PMI,low,52.2,53.0,54.0
2023-07-05,07:50,EUR,French Final Services PMI,low,48.0,48.0,48.0
2023-07-05,07:55,EUR,German Final Services PMI,low,54.1,54.1,54.1
2023-07-05,08:00,EUR,Final Services PMI,low,52.0,52.4,52.4
2023-07-05,08:30,GBP,Final Services PMI,low,53.7,53.7,53.7
2023-07-05,09:00,EUR,PPI m/m,low,-1.9%,-1.7%,-3.2%
2023-07-05,09:33,EUR,German 10-y Bond Auction,low,2.392.2,,2.431.9
2023-07-05,10:15,All,OPEC Meetings,high,,,
2023-07-05,14:00,USD,Factory Orders m/m,low,0.3%,0.7%,0.4%
2023-07-05,14:15,USD,Omdia Total Vehicle Sales,low,15.7M,15.3M,15.1M
2023-07-05,18:00,USD,FOMC Meeting Minutes,high,,,
2023-07-05,20:00,USD,FOMC Member Williams Speaks,low,,,
2023-07-05,20:30,USD,API Weekly Statistical Bulletin,low,,,
2023-07-06,01:30,AUD,Goods Trade Balance,medium,11.79B,10.85B,11.16B
2023-07-06,03:35,JPY,30-y Bond Auction,low,1.223.0,,1.263.1
2023-07-06,06:00,EUR,German Factory Orders m/m,low,6.4%,1.1%,-0.4%
2023-07-06,08:30,GBP,Construction PMI,low,48.9,50.9,51.6
2023-07-06,08:30,GBP,Housing Equity Withdrawal q/q,low,-22.9B,-10.7B,-14.9B
2023-07-06,08:47,EUR,Spanish 10-y Bond Auction,low,3.551.5,,3.511.4
2023-07-06,08:58,EUR,French 10-y Bond Auction,low,3.041.9,,2.851.9
2023-07-06,09:00,EUR,Retail Sales m/m,low,0.0%,0.2%,0.0%
2023-07-06,10:15,All,OPEC Meetings,high,,,
2023-07-06,11:30,USD,Challenger Job Cuts y/y,low,25.2%,,286.7%
2023-07-06,12:15,USD,ADP Non-Farm Employment Change,high,497K,226K,278K
2023-07-06,12:30,CAD,Trade Balance,low,-3.4B,1.4B,1.9B
2023-07-06,12:30,USD,Unemployment Claims,high,248K,247K,239K
2023-07-06,12:30,USD,Trade Balance,low,-69.0B,-68.9B,-74.6B
2023-07-06,12:45,USD,FOMC Member Logan Speaks,low,,,
2023-07-06,13:45,USD,Final Services PMI,low,54.4,54.1,54.1
2023-07-06,14:00,USD,ISM Services PMI,high,53.9,51.3,50.3
2023-07-06,14:00,USD,JOLTS Job Openings,high,9.82M,9.93M,10.10M
2023-07-06,15:00,USD,Crude Oil Inventories,low,-1.5M,-2.0M,-9.6M
2023-07-06,23:30,JPY,Average Cash Earnings y/y,low,2.5%,1.2%,1.0%
2023-07-06,23:30,JPY,Household Spending y/y,low,-4.0%,-2.4%,-4.4%
2023-07-07,05:00,JPY,Leading Indicators,low,109.5%,97.5%,97.6%
2023-07-07,05:45,CHF,Unemployment Rate,low,2.0%,2.0%,2.0%
2023-07-07,06:00,EUR,German Industrial Production m/m,low,-0.2%,0.0%,0.3%
2023-07-07,06:00,GBP,Halifax HPI m/m,low,-0.1%,0.1%,0.0%
2023-07-07,06:45,EUR,French Trade Balance,low,-8.4B,-9.5B,-9.7B
2023-07-07,07:00,CHF,Foreign Currency Reserves,medium,725B,,734B
2023-07-07,08:00,EUR,Italian Retail Sales m/m,low,0.7%,-0.2%,0.2%
2023-07-07,12:00,EUR,German Buba President Nagel Speaks,low,,,
2023-07-07,12:30,CAD,Employment Change,high,59.9K,19.8K,-17.3K
2023-07-07,12:30,CAD,Unemployment Rate,high,5.4%,5.3%,5.2%
2023-07-07,12:30,USD,Average Hourly Earnings m/m,high,0.4%,0.3%,0.3%
2023-07-07,12:30,USD,Non-Farm Employment Change,high,209K,224K,339K
2023-07-07,12:30,USD,Unemployment Rate,high,3.6%,3.6%,3.7%
2023-07-07,14:00,CAD,Ivey PMI,medium,50.2,51.5,53.5
2023-07-07,14:30,GBP,MPC Member Mann Speaks,low,,,
2023-07-07,14:30,USD,Natural Gas Storage,low,72B,65B,76B
2023-07-07,16:45,EUR,ECB President Lagarde Speaks,medium,,,
2023-07-09,07:30,GBP,BOE Gov Bailey Speaks,high,,,
2023-07-09,23:50,JPY,Bank Lending y/y,low,3.2%,3.5%,3.4%
2023-07-09,23:50,JPY,Current Account,low,1.70T,1.87T,1.90T
2023-07-10,01:30,CNY,CPI y/y,medium,0.0%,0.2%,0.2%
2023-07-10,01:30,CNY,PPI y/y,medium,-5.4%,-5.0%,-4.6%
2023-07-10,05:00,JPY,Economy Watchers Sentiment,low,53.6,54.8,55.0
2023-07-10,08:30,EUR,Sentix Investor Confidence,low,-22.5,-18.0,-17.0
2023-07-10,12:30,CAD,Building Permits m/m,low,10.5%,7.3%,-18.8%
2023-07-10,14:00,USD,Final Wholesale Inventories m/m,low,0.0%,-0.1%,-0.1%
2023-07-10,14:00,USD,FOMC Member Barr Speaks,low,,,
2023-07-10,15:00,GBP,BOE Gov Bailey Speaks,high,,,
2023-07-10,16:00,EUR,German Buba President Nagel Speaks,low,,,
2023-07-10,19:00,USD,Consumer Credit m/m,low,7.2B,21.1B,23.0B
2023-07-10,23:01,GBP,BRC Retail Sales Monitor y/y,low,4.2%,4.6%,3.7%
2023-07-10,23:50,JPY,M2 Money Stock y/y,low,2.6%,2.7%,2.7%
2023-07-11,00:30,AUD,Westpac Consumer Sentiment,low,2.7%,,0.2%
2023-07-11,01:30,AUD,NAB Business Confidence,medium,0,,-4
2023-07-11,01:30,AUD,Household Spending m/m,low,0.4%,,-1.1%
2023-07-11,05:59,JPY,Prelim Machine Tool Orders y/y,low,-21.7%,,-22.2%
2023-07-11,06:00,EUR,German Final CPI m/m,low,0.3%,0.3%,0.3%
2023-07-11,06:00,GBP,Claimant Count Change,high,25.7K,20.5K,-13.6K
2023-07-11,06:00,GBP,Average Earnings Index 3m/y,medium,6.9%,6.8%,6.5%
2023-07-11,06:00,GBP,Unemployment Rate,low,4.0%,3.8%,3.8%
2023-07-11,08:00,EUR,Italian Industrial Production m/m,low,1.6%,0.6%,-1.9%
2023-07-11,09:00,EUR,German ZEW Economic Sentiment,medium,-14.7,-10.7,-8.5
2023-07-11,09:00,EUR,ZEW Economic Sentiment,low,-12.2,-10.2,-10.0
2023-07-11,09:30,CNY,New Loans,medium,3050B,2300B,1360B
2023-07-11,09:30,CNY,M2 Money Supply y/y,low,11.3%,11.2%,11.6%
2023-07-11,09:50,USD,NFIB Small Business Index,low,91.0,89.9,89.4
2023-07-11,14:00,USD,RCM/TIPP Economic Optimism,low,41.3,45.3,41.7
2023-07-11,20:30,USD,API Weekly Statistical Bulletin,low,,,
2023-07-11,22:45,NZD,Visitor Arrivals m/m,low,-27.5%,,-16.9%
2023-07-11,23:50,JPY,Core Machinery Orders m/m,low,-7.6%,0.9%,5.5%
2023-07-11,23:50,JPY,PPI y/y,low,4.1%,4.3%,5.1%
2023-07-12,02:00,NZD,Official Cash Rate,high,5.50%,5.50%,5.50%
2023-07-12,02:00,NZD,RBNZ Rate Statement,high,,,
2023-07-12,03:10,AUD,RBA Gov Lowe Speaks,high,,,
2023-07-12,06:00,GBP,Bank Stress Test Results,low,,,
2023-07-12,06:00,GBP,BOE Financial Stability Report,low,,,
2023-07-12,06:00,GBP,FPC Meeting Minutes,low,,,
2023-07-12,06:00,GBP,FPC Statement,low,,,
2023-07-12,08:00,GBP,BOE Gov Bailey Speaks,high,,,
2023-07-12,09:03,GBP,10-y Bond Auction,low,4.602.7,,4.352.3
2023-07-12,09:35,EUR,German 10-y Bond Auction,low,2.641.9,,2.392.2
2023-07-12,12:30,USD,Core CPI m/m,high,0.2%,0.3%,0.4%
2023-07-12,12:30,USD,Core CPI y/y,high,4.8%,5.0%,5.3%
2023-07-12,12:30,USD,CPI m/m,high,0.2%,0.3%,0.1%
2023-07-12,12:30,USD,CPI y/y,high,3.0%,3.1%,4.0%
2023-07-12,13:30,GBP,CB Leading Index m/m,low,-0.4%,,-0.5%
2023-07-12,13:45,USD,FOMC Member Kashkari Speaks,low,,,
2023-07-12,14:00,CAD,BOC Monetary Policy Report,high,,,
2023-07-12,14:00,CAD,BOC Rate Statement,high,,,
