date,time,currency,event,impact,actual,forecast,previous
2023-05-01,00:01,CNY,Bank Holiday,holiday,,,
2023-05-01,00:30,JPY,Final Manufacturing PMI,low,49.5,49.5,49.5
2023-05-01,01:00,AUD,MI Inflation Gauge m/m,low,0.2%,,0.3%
2023-05-01,01:30,AUD,ANZ Job Advertisements m/m,low,-0.3%,,-2.4%
2023-05-01,05:00,JPY,Consumer Confidence,low,35.4,34.7,33.9
2023-05-01,06:00,CHF,Bank Holiday,holiday,,,
2023-05-01,06:30,AUD,Commodity Prices y/y,low,-19.2%,,-9.1%
2023-05-01,07:00,GBP,Bank Holiday,holiday,,,
2023-05-01,07:01,EUR,French Bank Holiday,holiday,,,
2023-05-01,07:02,EUR,German Bank Holiday,holiday,,,
2023-05-01,07:03,EUR,Italian Bank Holiday,holiday,,,
2023-05-01,13:30,CAD,Manufacturing PMI,low,50.2,,48.6
2023-05-01,13:45,USD,Final Manufacturing PMI,low,50.2,50.4,50.4
2023-05-01,14:00,USD,ISM Manufacturing PMI,high,47.1,46.8,46.3
2023-05-01,14:00,USD,ISM Manufacturing Prices,medium,53.2,49.4,49.2
2023-05-01,14:00,USD,Construction Spending m/m,low,0.3%,0.2%,-0.1%
2023-05-01,23:01,GBP,BRC Shop Price Index y/y,low,8.8%,,8.9%
2023-05-01,23:50,JPY,Monetary Base y/y,low,-1.7%,-1.3%,-1.0%
2023-05-02,04:30,AUD,Cash Rate,high,3.85%,3.60%,3.60%
2023-05-02,04:30,AUD,RBA Rate Statement,high,,,
2023-05-02,06:00,EUR,German Retail Sales m/m,low,-2.4%,0.4%,-1.3%
2023-05-02,06:00,GBP,Nationwide HPI m/m,low,0.5%,-0.5%,-0.8%
2023-05-02,07:00,CHF,SECO Consumer Climate,low,-30,-22,-30
2023-05-02,07:15,EUR,Spanish Manufacturing PMI,low,49.0,49.8,51.3
2023-05-02,07:30,CHF,Manufacturing PMI,low,45.3,47.2,47.0
2023-05-02,07:45,EUR,Italian Manufacturing PMI,low,46.8,49.4,51.1
