date,time,currency,event,impact,actual,forecast,previous
2024-10-01,00:01,CNY,Bank Holiday,holiday,,,
2024-10-01,00:30,JPY,Final Manufacturing PMI,low,49.7,49.6,49.6
2024-10-01,01:30,AUD,Retail Sales m/m,medium,0.7%,0.4%,0.0%
2024-10-01,01:30,AUD,Building Approvals m/m,low,-6.1%,-4.3%,10.4%
2024-10-01,06:30,AUD,Commodity Prices y/y,low,-10.1%,,-5.2%
2024-10-01,06:30,CHF,Retail Sales y/y,low,3.2%,2.6%,2.7%
2024-10-01,07:00,EUR,German Buba President Nagel Speaks,low,,,
2024-10-01,07:15,EUR,Spanish Manufacturing PMI,low,53.0,50.2,50.5
2024-10-01,07:30,CHF,Manufacturing PMI,low,49.9,47.9,49.0
2024-10-01,07:45,EUR,Italian Manufacturing PMI,low,48.3,49.0,49.4
2024-10-01,07:50,EUR,French Final Manufacturing PMI,low,44.6,44.0,44.0
2024-10-01,07:55,EUR,German Final Manufacturing PMI,low,40.6,40.3,40.3
2024-10-01,08:00,EUR,Final Manufacturing PMI,low,45.0,44.8,44.8
2024-10-01,08:30,GBP,Final Manufacturing PMI,low,51.5,51.5,51.5
2024-10-01,09:00,EUR,Core CPI Flash Estimate y/y,high,2.7%,2.7%,2.8%
2024-10-01,09:00,EUR,CPI Flash Estimate y/y,high,1.8%,1.8%,2.2%
2024-10-01,13:30,CAD,Manufacturing PMI,low,50.4,,49.5
2024-10-01,13:45,USD,Final Manufacturing PMI,medium,47.3,47.0,47.0
2024-10-01,14:00,GBP,MPC Member Pill Speaks,low,,,
2024-10-01,14:00,USD,ISM Manufacturing PMI,high,47.2,47.6,47.2
2024-10-01,14:00,USD,JOLTS Job Openings,high,8.04M,7.64M,7.67M
2024-10-01,14:00,USD,ISM Manufacturing Prices,medium,48.3,53.5,54.0
2024-10-01,14:00,USD,Construction Spending m/m,low,-0.1%,0.2%,-0.3%
2024-10-01,14:15,USD,Omdia Total Vehicle Sales,low,15.8M,15.6M,15.1M
2024-10-01,15:00,USD,FOMC Member Bostic Speaks,low,,,
2024-10-01,15:10,USD,FOMC Member Cook Speaks,low,,,
2024-10-01,15:15,CHF,SNB Chairman Schlegel Speaks,high,,,
2024-10-01,15:17,NZD,GDT Price Index,low,1.2%,,0.8%
2024-10-01,20:30,USD,API Weekly Statistical Bulletin,low,,,
2024-10-01,22:15,USD,FOMC Member Barkin Speaks,low,,,
2024-10-01,22:15,USD,FOMC Member Bostic Speaks,low,,,
