date,time,currency,event,impact,actual,forecast,previous
2025-09-01,00:30,JPY,Final Manufacturing PMI,low,49.7,49.9,49.9
2025-09-01,01:00,AUD,MI Inflation Gauge m/m,low,-0.3%,,0.9%
2025-09-01,01:30,AUD,ANZ Job Advertisements m/m,low,0.1%,,-1.0%
2025-09-01,01:30,AUD,Building Approvals m/m,low,-8.2%,-4.8%,11.9%
2025-09-01,01:30,AUD,Company Operating Profits q/q,low,-2.4%,1.0%,-0.5%
2025-09-01,01:45,CNY,RatingDog Manufacturing PMI,low,50.5,49.7,49.5
2025-09-01,06:00,GBP,Nationwide HPI m/m,low,-0.1%,0.1%,0.6%
2025-09-01,06:30,AUD,Commodity Prices y/y,low,-4.3%,,-9.0%
2025-09-01,06:30,CHF,Retail Sales y/y,low,0.7%,3.6%,3.8%
2025-09-01,07:15,EUR,Spanish Manufacturing PMI,low,54.3,52.1,51.9
2025-09-01,07:30,CHF,Manufacturing PMI,low,49.0,46.9,48.8
2025-09-01,07:45,EUR,Italian Manufacturing PMI,low,50.4,49.8,49.8
2025-09-01,07:50,EUR,French Final Manufacturing PMI,low,50.4,49.9,49.9
2025-09-01,07:55,EUR,German Final Manufacturing PMI,low,49.8,49.9,49.9
2025-09-01,08:00,EUR,Final Manufacturing PMI,low,50.7,50.5,50.5
2025-09-01,08:00,EUR,Italian Monthly Unemployment Rate,low,6.0%,6.2%,6.3%
2025-09-01,08:30,GBP,Final Manufacturing PMI,low,47.0,47.3,47.3
2025-09-01,08:30,GBP,M4 Money Supply m/m,low,0.1%,0.2%,0.3%
2025-09-01,08:30,GBP,Mortgage Approvals,low,65K,64K,64K
2025-09-01,08:30,GBP,Net Lending to Individuals m/m,low,6.1B,4.9B,6.8B
2025-09-01,09:00,EUR,Unemployment Rate,low,6.2%,6.2%,6.2%
2025-09-01,12:00,CAD,Bank Holiday,holiday,,,
2025-09-01,12:00,USD,Bank Holiday,holiday,,,
2025-09-01,22:45,NZD,Overseas Trade Index q/q,low,4.1%,2.0%,1.9%
2025-09-01,23:50,JPY,Monetary Base y/y,low,-4.1%,-3.5%,-3.9%
2025-09-02,01:30,AUD,Current Account,low,-13.7B,-15.9B,-14.7B
