date,time,currency,event,impact,actual,forecast,previous
2022-01-02,20:00,NZD,Bank Holiday,holiday,,,
2022-01-02,21:00,AUD,Bank Holiday,holiday,,,
2022-01-03,00:00,JPY,Bank Holiday,holiday,,,
2022-01-03,00:01,CNY,Bank Holiday,holiday,,,
2022-01-03,07:03,EUR,Italian Bank Holiday,holiday,,,
2022-01-03,08:00,GBP,Bank Holiday,holiday,,,
2022-01-03,08:15,EUR,Spanish Manufacturing PMI,low,56.2,56.3,57.1
2022-01-03,08:30,CHF,Manufacturing PMI,low,62.7,61.2,62.5
2022-01-03,08:45,EUR,Italian Manufacturing PMI,low,62.0,61.6,62.8
2022-01-03,08:50,EUR,French Final Manufacturing PMI,low,55.6,54.9,54.9
2022-01-03,08:55,EUR,German Final Manufacturing PMI,low,57.4,57.9,57.9
2022-01-03,09:00,EUR,Final Manufacturing PMI,low,58.0,58.0,58.0
2022-01-03,13:00,CAD,Bank Holiday,holiday,,,
2022-01-03,13:00,USD,Bank Holiday,holiday,,,
2022-01-03,14:45,USD,Final Manufacturing PMI,low,57.7,57.7,57.8
2022-01-03,15:00,USD,Construction Spending m/m,low,0.4%,0.8%,0.2%
2022-01-03,20:00,NZD,Bank Holiday,holiday,,,
2022-01-04,00:01,GBP,BRC Shop Price Index y/y,low,0.8%,,0.3%
2022-01-04,00:30,JPY,Final Manufacturing PMI,low,54.3,54.3,54.2
2022-01-04,01:45,CNY,RatingDog Manufacturing PMI,low,50.9,50.1,49.9
2022-01-04,05:30,AUD,Commodity Prices y/y,low,25.7%,,36.2%
2022-01-04,07:00,EUR,German Retail Sales m/m,low,0.6%,-0.2%,-0.3%
2022-01-04,07:30,CHF,CPI m/m,low,-0.1%,-0.1%,0.0%
2022-01-04,07:45,EUR,French Prelim CPI m/m,low,0.2%,0.3%,0.4%
2022-01-04,08:02,EUR,Spanish Unemployment Change,medium,-76.8K,-32.5K,-74.4K
2022-01-04,08:55,EUR,German Unemployment Change,low,-23K,-15K,-34K
2022-01-04,09:30,GBP,Final Manufacturing PMI,low,57.9,57.6,57.6
2022-01-04,09:30,GBP,M4 Money Supply m/m,low,0.7%,0.5%,0.6%
2022-01-04,09:30,GBP,Mortgage Approvals,low,67K,66K,67K
2022-01-04,09:32,GBP,Net Lending to Individuals m/m,low,4.9B,3.9B,2.3B
2022-01-04,10:15,All,OPEC-JMMC Meetings,high,,,
2022-01-04,13:30,CAD,IPPI m/m,low,0.8%,0.9%,1.3%
2022-01-04,13:30,CAD,RMPI m/m,low,-1.0%,0.0%,4.8%
2022-01-04,14:30,CAD,Manufacturing PMI,low,56.5,,57.2
2022-01-04,14:34,NZD,GDT Price Index,low,0.3%,,-1.5%
2022-01-04,15:00,USD,ISM Manufacturing PMI,high,58.7,60.0,61.1
2022-01-04,15:00,USD,JOLTS Job Openings,high,10.56M,11.06M,11.03M
2022-01-04,15:00,USD,ISM Manufacturing Prices,low,68.2,79.3,82.4
2022-01-04,15:15,USD,Omdia Total Vehicle Sales,low,12.4M,13.1M,12.9M
2022-01-04,21:30,USD,API Weekly Statistical Bulletin,low,,,
2022-01-04,23:50,JPY,Monetary Base y/y,low,8.3%,9.5%,9.3%
2022-01-05,00:30,AUD,ANZ Job Advertisements m/m,low,-5.5%,,7.4%
2022-01-05,03:35,JPY,10-y Bond Auction,low,0.103.5,,0.063.2
2022-01-05,05:00,JPY,Consumer Confidence,low,39.1,39.8,39.2
2022-01-05,08:15,EUR,Spanish Services PMI,low,55.8,57.3,59.8
2022-01-05,08:45,EUR,Italian Services PMI,low,53.0,53.9,55.9
2022-01-05,08:50,EUR,French Final Services PMI,low,57.0,57.1,57.1
2022-01-05,08:55,EUR,German Final Services PMI,low,48.7,48.4,48.4
2022-01-05,09:00,EUR,Final Services PMI,low,53.1,53.3,53.3
2022-01-05,10:00,EUR,Italian Prelim CPI m/m,low,0.4%,0.3%,0.7%
2022-01-05,10:33,EUR,German 10-y Bond Auction,low,-0.091.5,,-0.381.3
2022-01-05,13:15,USD,ADP Non-Farm Employment Change,high,807K,405K,534K
2022-01-05,13:30,CAD,Building Permits m/m,medium,6.8%,2.1%,1.3%
2022-01-05,13:30,CAD,NHPI m/m,low,0.8%,0.7%,0.9%
2022-01-05,14:45,USD,Final Services PMI,low,57.6,57.5,57.5
2022-01-05,15:30,USD,Crude Oil Inventories,low,-2.1M,-3.5M,-3.6M
2022-01-05,19:00,USD,FOMC Meeting Minutes,high,,,
2022-01-06,01:45,CNY,RatingDog Services PMI,low,53.1,51.9,52.1
