date,time,currency,event,impact,actual,forecast,previous
2022-05-01,22:50,AUD,AIG Manufacturing Index,low,58.5,,55.7
2022-05-02,00:01,CNY,Bank Holiday,holiday,,,
2022-05-02,00:30,JPY,Final Manufacturing PMI,low,53.5,53.4,53.4
2022-05-02,01:07,AUD,MI Inflation Gauge m/m,low,-0.1%,,0.8%
2022-05-02,01:30,AUD,ANZ Job Advertisements m/m,low,-0.5%,,0.4%
2022-05-02,04:59,JPY,Consumer Confidence,low,33.0,34.9,32.8
2022-05-02,06:00,EUR,German Retail Sales m/m,low,-0.1%,0.2%,0.3%
2022-05-02,06:30,AUD,Commodity Prices y/y,low,39.9%,,40.9%
2022-05-02,07:00,CHF,SECO Consumer Climate,low,-27,-15,-4
2022-05-02,07:00,GBP,Bank Holiday,holiday,,,
2022-05-02,07:15,EUR,Spanish Manufacturing PMI,low,53.3,54.0,54.2
2022-05-02,07:30,CHF,Manufacturing PMI,low,62.5,60.5,64.0
2022-05-02,07:45,EUR,Italian Manufacturing PMI,low,54.5,55.1,55.8
2022-05-02,07:50,EUR,French Final Manufacturing PMI,low,55.7,55.4,55.4
2022-05-02,07:55,EUR,German Final Manufacturing PMI,low,54.6,54.1,54.1
2022-05-02,08:00,EUR,Final Manufacturing PMI,low,55.5,55.3,55.3
2022-05-02,08:00,EUR,Italian Monthly Unemployment Rate,low,8.3%,8.4%,8.5%
2022-05-02,13:30,CAD,Manufacturing PMI,low,56.2,,58.9
2022-05-02,13:45,USD,Final Manufacturing PMI,low,59.2,59.7,59.7
2022-05-02,14:00,USD,ISM Manufacturing PMI,high,55.4,57.5,57.1
2022-05-02,14:00,USD,Construction Spending m/m,low,0.1%,0.8%,0.5%
2022-05-02,14:00,USD,ISM Manufacturing Prices,low,84.6,87.6,87.1
2022-05-02,22:45,NZD,Building Consents m/m,low,5.8%,,10.5%
2022-05-02,23:30,AUD,Retail Sales m/m,low,1.6%,1.7%,1.8%
2022-05-03,00:00,JPY,Bank Holiday,holiday,,,
2022-05-03,00:01,CNY,Bank Holiday,holiday,,,
2022-05-03,04:30,AUD,Cash Rate,high,0.35%,0.25%,0.10%
2022-05-03,04:30,AUD,RBA Rate Statement,high,,,
2022-05-03,06:30,AUD,RBA Gov Lowe Speaks,high,,,
2022-05-03,06:45,EUR,French Gov Budget Balance,low,-38.3B,,-37.6B
2022-05-03,07:55,EUR,German Unemployment Change,low,-13K,-15K,-18K
2022-05-03,08:30,GBP,Final Manufacturing PMI,low,55.8,55.3,55.3
2022-05-03,09:00,EUR,PPI m/m,low,5.3%,4.9%,1.1%
2022-05-03,09:00,EUR,Unemployment Rate,low,6.8%,6.8%,6.8%
2022-05-03,09:15,EUR,ECOFIN Meetings,low,,,
2022-05-03,09:15,EUR,Eurogroup Meetings,low,,,
2022-05-03,13:00,EUR,ECB President Lagarde Speaks,medium,,,
2022-05-03,14:00,USD,JOLTS Job Openings,high,11.55M,11.19M,11.27M
2022-05-03,14:00,USD,Factory Orders m/m,low,2.2%,1.3%,-0.5%
2022-05-03,14:15,USD,Omdia Total Vehicle Sales,low,14.3M,14.2M,13.3M
2022-05-03,14:54,NZD,GDT Price Index,low,-8.5%,,-3.6%
2022-05-03,16:30,CAD,Gov Council Member Rogers Speaks,low,,,
2022-05-03,20:30,USD,API Weekly Statistical Bulletin,low,,,
2022-05-03,21:00,NZD,RBNZ Financial Stability Report,medium,,,
2022-05-03,22:30,AUD,AIG Construction Index,low,55.9,,56.5
2022-05-03,22:45,NZD,Employment Change q/q,high,0.1%,0.1%,0.1%
2022-05-03,22:45,NZD,Unemployment Rate,high,3.2%,3.2%,3.2%
2022-05-03,22:45,NZD,Labor Cost Index q/q,low,0.7%,0.7%,0.7%
2022-05-03,23:00,NZD,RBNZ Gov Orr Speaks,high,,,
2022-05-03,23:01,GBP,BRC Shop Price Index y/y,low,2.7%,,2.1%
2022-05-04,00:00,JPY,Bank Holiday,holiday,,,
2022-05-04,00:01,CNY,Bank Holiday,holiday,,,
2022-05-04,01:00,NZD,ANZ Commodity Prices m/m,low,-1.9%,,3.9%
2022-05-04,06:00,EUR,German Trade Balance,low,3.2B,12.3B,11.5B
2022-05-04,07:00,EUR,Spanish Unemployment Change,medium,-86.3K,-75.0K,-2.9K
2022-05-04,07:15,EUR,Spanish Services PMI,low,57.1,56.0,53.4
2022-05-04,07:45,EUR,Italian Services PMI,low,55.7,54.6,52.1
2022-05-04,07:50,EUR,French Final Services PMI,low,58.9,58.8,58.8
2022-05-04,07:55,EUR,German Final Services PMI,low,57.6,57.9,57.9
2022-05-04,08:00,EUR,Final Services PMI,low,57.7,57.7,57.7
2022-05-04,08:30,GBP,M4 Money Supply m/m,low,0.1%,0.8%,1.0%
2022-05-04,08:30,GBP,Mortgage Approvals,low,71K,70K,71K
2022-05-04,08:32,GBP,Net Lending to Individuals m/m,low,8.3B,6.2B,6.5B
2022-05-04,09:00,EUR,Retail Sales m/m,low,-0.4%,-0.3%,0.3%
