date,time,currency,event,impact,actual,forecast,previous
2023-10-01,01:45,CNY,RatingDog Manufacturing PMI,medium,50.6,51.1,51.0
2023-10-01,01:45,CNY,RatingDog Services PMI,medium,50.2,52.0,51.8
2023-10-01,21:00,AUD,Bank Holiday,holiday,,,
2023-10-01,21:45,NZD,Building Consents m/m,low,-6.7%,,-5.2%
2023-10-01,23:50,JPY,BOJ Summary of Opinions,low,,,
2023-10-01,23:50,JPY,Tankan Manufacturing Index,low,9,6,5
2023-10-01,23:50,JPY,Tankan Non-Manufacturing Index,low,27,24,23
2023-10-02,00:00,AUD,MI Inflation Gauge m/m,low,0.0%,,0.2%
2023-10-02,00:01,CNY,Bank Holiday,holiday,,,
2023-10-02,00:30,JPY,Final Manufacturing PMI,low,48.5,48.6,48.6
2023-10-02,06:00,GBP,Nationwide HPI m/m,low,0.0%,-0.4%,-0.8%
2023-10-02,06:30,CHF,Retail Sales y/y,low,-1.8%,-1.8%,-2.2%
2023-10-02,07:15,EUR,Spanish Manufacturing PMI,low,47.7,46.6,46.5
2023-10-02,07:30,CHF,Manufacturing PMI,low,44.9,40.6,39.9
2023-10-02,07:45,EUR,Italian Manufacturing PMI,low,46.8,45.8,45.4
2023-10-02,07:50,EUR,French Final Manufacturing PMI,low,44.2,43.6,43.6
2023-10-02,07:55,EUR,German Final Manufacturing PMI,low,39.6,39.8,39.8
2023-10-02,08:00,EUR,Final Manufacturing PMI,low,43.4,43.4,43.4
2023-10-02,08:00,EUR,Italian Monthly Unemployment Rate,low,7.3%,7.7%,7.6%
2023-10-02,08:30,GBP,Final Manufacturing PMI,low,44.3,44.2,44.2
2023-10-02,09:00,EUR,Unemployment Rate,low,6.4%,6.4%,6.4%
2023-10-02,12:00,CAD,Bank Holiday,holiday,,,
2023-10-02,13:30,CAD,Manufacturing PMI,low,47.5,,48.0
2023-10-02,13:45,USD,Final Manufacturing PMI,low,49.8,48.9,48.9
2023-10-02,14:00,USD,ISM Manufacturing PMI,high,49.0,47.8,47.6
2023-10-02,14:00,USD,ISM Manufacturing Prices,medium,43.8,48.9,48.4
2023-10-02,14:00,USD,Construction Spending m/m,low,0.5%,0.6%,0.7%
2023-10-02,15:00,GBP,MPC Member Mann Speaks,low,,,
2023-10-02,15:00,USD,FOMC Member Powell Speaks,high,,,
2023-10-02,15:00,USD,FOMC Member Harker Speaks,medium,,,
2023-10-02,17:00,USD,FOMC Member Barr Speaks,low,,,
2023-10-02,21:00,NZD,NZIER Business Confidence,low,-52,,-63
2023-10-02,23:01,GBP,BRC Shop Price Index y/y,low,6.2%,,6.9%
2023-10-02,23:50,JPY,Monetary Base y/y,low,5.6%,1.6%,1.2%
2023-10-03,00:01,CNY,Bank Holiday,holiday,,,
2023-10-03,00:30,AUD,ANZ Job Advertisements m/m,low,-0.1%,,1.9%
2023-10-03,00:30,AUD,Building Approvals m/m,low,7.0%,2.7%,-8.1%
2023-10-03,03:30,AUD,Cash Rate,high,4.10%,4.10%,4.10%
2023-10-03,03:30,AUD,RBA Rate Statement,high,,,
2023-10-03,03:35,JPY,10-y Bond Auction,low,0.773.9,,0.664.0
2023-10-03,05:30,AUD,Commodity Prices y/y,low,-22.0%,,-23.2%
2023-10-03,06:30,CHF,CPI m/m,high,-0.1%,0.0%,0.2%
2023-10-03,06:45,EUR,French Gov Budget Balance,low,-187.9B,,-169.0B
2023-10-03,07:00,EUR,Spanish Unemployment Change,low,19.8K,-12.2K,24.8K
2023-10-03,07:02,EUR,German Bank Holiday,holiday,,,
2023-10-03,09:03,GBP,30-y Bond Auction,low,4.942.8,,4.702.4
2023-10-03,12:25,CAD,Gov Council Member Vincent Speaks,low,,,
2023-10-03,14:00,USD,JOLTS Job Openings,high,9.61M,8.81M,8.83M
2023-10-03,14:00,USD,RCM/TIPP Economic Optimism,low,36.3,41.6,43.2
2023-10-03,14:15,USD,Omdia Total Vehicle Sales,low,15.7M,15.4M,15.0M
2023-10-03,15:11,NZD,GDT Price Index,low,4.4%,,4.6%
2023-10-03,20:30,USD,API Weekly Statistical Bulletin,low,,,
