date,time,currency,event,impact,actual,forecast,previous
2023-09-01,00:30,JPY,Final Manufacturing PMI,low,49.6,49.7,49.7
2023-09-01,01:45,CNY,RatingDog Manufacturing PMI,medium,51.0,49.0,49.2
2023-09-01,06:00,GBP,Nationwide HPI m/m,low,-0.8%,-0.3%,-0.2%
2023-09-01,06:30,AUD,Commodity Prices y/y,low,-23.2%,,-23.5%
2023-09-01,06:30,CHF,CPI m/m,high,0.2%,0.2%,-0.1%
2023-09-01,06:45,EUR,French Gov Budget Balance,low,-169.0B,,-116.2B
2023-09-01,07:15,EUR,Spanish Manufacturing PMI,low,46.5,47.8,47.8
2023-09-01,07:30,CHF,Manufacturing PMI,low,39.9,40.5,38.5
2023-09-01,07:45,EUR,Italian Manufacturing PMI,low,45.4,44.0,44.5
2023-09-01,07:50,EUR,French Final Manufacturing PMI,low,46.0,46.4,46.4
2023-09-01,07:55,EUR,German Final Manufacturing PMI,low,39.1,39.1,39.1
2023-09-01,08:00,EUR,Final Manufacturing PMI,low,43.5,43.7,43.7
2023-09-01,08:30,GBP,Final Manufacturing PMI,low,43.0,42.5,42.5
2023-09-01,10:00,GBP,MPC Member Pill Speaks,low,,,
2023-09-01,12:30,CAD,GDP m/m,high,-0.2%,-0.2%,0.3%
2023-09-01,12:30,USD,Average Hourly Earnings m/m,high,0.2%,0.3%,0.4%
2023-09-01,12:30,USD,Non-Farm Employment Change,high,187K,169K,187K
2023-09-01,12:30,USD,Unemployment Rate,high,3.8%,3.5%,3.5%
2023-09-01,13:30,CAD,Manufacturing PMI,low,48.0,,49.6
2023-09-01,13:45,USD,Final Manufacturing PMI,low,47.9,47.0,47.0
2023-09-01,14:00,USD,ISM Manufacturing PMI,high,47.6,46.9,46.4
2023-09-01,14:00,USD,ISM Manufacturing Prices,medium,48.4,43.9,42.6
2023-09-01,14:00,USD,Construction Spending m/m,low,0.7%,0.5%,0.5%
2023-09-01,14:15,USD,Omdia Total Vehicle Sales,low,15.0M,15.5M,15.7M
2023-09-03,22:45,NZD,Overseas Trade Index q/q,low,0.4%,0.0%,-1.5%
2023-09-03,23:50,JPY,Monetary Base y/y,low,1.2%,-0.7%,-1.3%
2023-09-04,01:00,AUD,MI Inflation Gauge m/m,low,0.2%,,0.8%
2023-09-04,01:30,AUD,ANZ Job Advertisements m/m,low,1.9%,,0.4%
2023-09-04,01:30,AUD,Company Operating Profits q/q,low,-13.1%,-0.1%,0.5%
2023-09-04,01:30,AUD,Household Spending m/m,low,-2.9%,,1.6%
2023-09-04,06:00,EUR,German Trade Balance,low,15.9B,17.6B,18.7B
2023-09-04,07:00,CHF,GDP q/q,medium,0.0%,0.1%,0.3%
2023-09-04,07:00,EUR,Spanish Unemployment Change,low,24.8K,-21.3K,-11.0K
2023-09-04,08:30,EUR,Sentix Investor Confidence,low,-21.5,-19.6,-18.9
2023-09-04,12:00,CAD,Bank Holiday,holiday,,,
2023-09-04,12:00,USD,Bank Holiday,holiday,,,
2023-09-04,13:00,EUR,German Buba President Nagel Speaks,low,,,
2023-09-04,13:30,EUR,ECB President Lagarde Speaks,medium,,,
2023-09-04,23:01,GBP,BRC Retail Sales Monitor y/y,low,4.3%,2.2%,1.8%
2023-09-04,23:30,JPY,Household Spending y/y,low,-5.0%,-2.4%,-4.2%
2023-09-05,01:00,NZD,ANZ Commodity Prices m/m,low,-2.9%,,-2.6%
2023-09-05,01:30,AUD,Current Account,low,7.7B,8.0B,12.3B
2023-09-05,01:45,CNY,RatingDog Services PMI,medium,51.8,53.6,54.1
2023-09-05,03:35,JPY,10-y Bond Auction,low,0.664.0,,0.593.6
2023-09-05,04:30,AUD,Cash Rate,high,4.10%,4.10%,4.10%
2023-09-05,04:30,AUD,RBA Rate Statement,high,,,
2023-09-05,07:15,EUR,Spanish Services PMI,low,49.3,51.6,52.8
2023-09-05,07:45,EUR,Italian Services PMI,low,49.8,50.3,51.5
2023-09-05,07:50,EUR,French Final Services PMI,low,46.0,46.7,46.7
2023-09-05,07:55,EUR,German Final Services PMI,low,47.3,47.3,47.3
2023-09-05,08:00,EUR,Final Services PMI,low,47.9,48.3,48.3
2023-09-05,08:30,GBP,Final Services PMI,low,49.5,48.7,48.7
2023-09-05,09:00,EUR,PPI m/m,low,-0.5%,-0.5%,-0.4%
2023-09-05,14:00,USD,Factory Orders m/m,low,-2.1%,-2.5%,2.3%
2023-09-05,15:12,NZD,GDT Price Index,low,2.7%,,-7.4%
2023-09-06,01:30,AUD,GDP q/q,high,0.4%,0.4%,0.2%
2023-09-06,06:00,EUR,German Factory Orders m/m,low,-11.7%,-4.3%,7.0%
2023-09-06,08:30,GBP,Construction PMI,low,50.8,49.8,51.7
2023-09-06,09:00,EUR,Retail Sales m/m,low,-0.2%,-0.1%,-0.3%
2023-09-06,09:34,EUR,German 10-y Bond Auction,low,2.631.7,,2.461.6
2023-09-06,12:30,CAD,Labor Productivity q/q,low,-0.6%,-0.1%,-0.6%
2023-09-06,12:30,CAD,Trade Balance,low,-1.0B,-3.5B,-3.7B
2023-09-06,12:30,USD,Trade Balance,low,-65.0B,-67.9B,-65.5B
2023-09-06,13:15,GBP,Monetary Policy Report Hearings,medium,,,
2023-09-06,13:45,USD,Final Services PMI,low,50.5,51.0,51.0
2023-09-06,14:00,CAD,BOC Rate Statement,high,,,
2023-09-06,14:00,CAD,Overnight Rate,high,5.00%,5.00%,5.00%
2023-09-06,14:00,USD,ISM Services PMI,high,54.5,52.5,52.7
2023-09-06,14:00,USD,RCM/TIPP Economic Optimism,low,43.2,41.1,40.3
2023-09-06,18:00,USD,Beige Book,low,,,
2023-09-06,19:00,USD,FOMC Member Logan Speaks,low,,,
2023-09-06,20:30,USD,API Weekly Statistical Bulletin,low,,,
2023-09-06,22:45,NZD,Manufacturing Sales q/q,low,0.2%,,-2.8%
2023-09-07,01:30,AUD,Goods Trade Balance,medium,8.04B,10.05B,11.32B
2023-09-07,03:00,CNY,USD-Denominated Trade Balance,low,68.4B,74.1B,80.6B
2023-09-07,03:01,CNY,Trade Balance,low,488B,541B,576B
2023-09-07,03:10,AUD,RBA Gov Lowe Speaks,medium,,,
2023-09-07,03:35,JPY,30-y Bond Auction,low,1.643.5,,1.593.5
2023-09-07,05:00,JPY,Leading Indicators,low,107.6%,107.9%,108.9%
2023-09-07,05:30,EUR,French Final Private Payrolls q/q,low,0.1%,0.2%,0.1%
2023-09-07,05:45,CHF,Unemployment Rate,low,2.1%,2.1%,2.1%
2023-09-07,06:00,EUR,German Industrial Production m/m,low,-0.8%,-0.4%,-1.5%
2023-09-07,06:00,GBP,Halifax HPI m/m,low,-1.9%,-0.1%,-0.3%
2023-09-07,06:45,EUR,French Trade Balance,low,-8.1B,-6.8B,-6.7B
2023-09-07,07:00,CHF,Foreign Currency Reserves,medium,694B,,698B
2023-09-07,08:00,EUR,Italian Retail Sales m/m,low,0.4%,0.2%,-0.2%
