date,time,currency,event,impact,actual,forecast,previous
2024-09-01,23:50,JPY,Capital Spending q/y,low,7.4%,9.6%,6.8%
2024-09-02,00:30,JPY,Final Manufacturing PMI,low,49.8,49.5,49.5
2024-09-02,01:00,AUD,MI Inflation Gauge m/m,low,-0.1%,,0.4%
2024-09-02,01:30,AUD,ANZ Job Advertisements m/m,low,-2.1%,,-3.0%
2024-09-02,01:30,AUD,Building Approvals m/m,low,10.4%,2.4%,-6.5%
2024-09-02,01:30,AUD,Company Operating Profits q/q,low,-5.3%,-0.6%,-2.5%
2024-09-02,01:45,CNY,RatingDog Manufacturing PMI,low,50.4,50.0,49.8
2024-09-02,06:30,CHF,Retail Sales y/y,low,2.7%,-0.2%,-2.2%
2024-09-02,06:32,AUD,Commodity Prices y/y,low,-5.2%,,-3.0%
2024-09-02,07:15,EUR,Spanish Manufacturing PMI,low,50.5,51.4,51.0
2024-09-02,07:30,CHF,Manufacturing PMI,low,49.0,43.7,43.5
2024-09-02,07:45,EUR,Italian Manufacturing PMI,low,49.4,48.0,47.4
2024-09-02,07:50,EUR,French Final Manufacturing PMI,low,43.9,42.1,42.1
2024-09-02,07:55,EUR,German Final Manufacturing PMI,low,42.4,42.1,42.1
2024-09-02,08:00,EUR,Final Manufacturing PMI,low,45.8,45.6,45.6
2024-09-02,08:30,GBP,Final Manufacturing PMI,low,52.5,52.5,52.5
2024-09-02,12:00,CAD,Bank Holiday,holiday,,,
2024-09-02,12:00,USD,Bank Holiday,holiday,,,
2024-09-02,22:45,NZD,Overseas Trade Index q/q,low,2.1%,2.6%,5.1%
2024-09-02,23:01,GBP,BRC Retail Sales Monitor y/y,low,0.8%,0.7%,0.3%
2024-09-02,23:50,JPY,Monetary Base y/y,low,0.6%,0.6%,1.0%
2024-09-03,01:30,AUD,Current Account,low,-10.7B,-4.5B,-4.9B
2024-09-03,03:35,JPY,10-y Bond Auction,low,0.923.2,,0.933.0
2024-09-03,06:30,CHF,CPI m/m,high,0.0%,0.1%,-0.2%
2024-09-03,06:45,EUR,French Gov Budget Balance,low,-156.9B,,-103.5B
2024-09-03,07:00,CHF,GDP q/q,medium,0.7%,0.5%,0.5%
2024-09-03,07:00,EUR,Spanish Unemployment Change,low,21.9K,34.3K,-10.8K
2024-09-03,13:30,CAD,Manufacturing PMI,low,49.5,,47.8
2024-09-03,13:45,USD,Final Manufacturing PMI,low,47.9,48.1,48.0
2024-09-03,14:00,USD,ISM Manufacturing PMI,high,47.2,47.5,46.8
2024-09-03,14:00,USD,ISM Manufacturing Prices,medium,54.0,52.1,52.9
2024-09-03,14:00,USD,Construction Spending m/m,low,-0.3%,0.1%,-0.3%
2024-09-03,14:07,USD,RCM/TIPP Economic Optimism,low,46.1,46.2,44.5
2024-09-03,15:54,NZD,GDT Price Index,low,-0.4%,,5.5%
2024-09-03,16:45,EUR,German Buba President Nagel Speaks,low,,,
2024-09-04,01:00,NZD,ANZ Commodity Prices m/m,low,2.1%,,-1.7%
