date,time,currency,event,impact,actual,forecast,previous
2023-03-01,00:01,GBP,BRC Shop Price Index y/y,low,8.4%,,8.0%
2023-03-01,00:30,AUD,CPI y/y,high,7.4%,8.1%,8.4%
2023-03-01,00:30,AUD,GDP q/q,medium,0.5%,0.8%,0.6%
2023-03-01,00:30,JPY,Final Manufacturing PMI,low,47.7,47.4,47.4
2023-03-01,01:30,CNY,Manufacturing PMI,low,52.6,50.7,50.1
2023-03-01,01:30,CNY,Non-Manufacturing PMI,low,56.3,55.0,54.4
2023-03-01,01:45,CNY,RatingDog Manufacturing PMI,low,51.6,50.7,49.2
2023-03-01,05:30,AUD,Commodity Prices y/y,low,3.6%,,10.6%
2023-03-01,07:00,GBP,Nationwide HPI m/m,low,-0.5%,-0.5%,-0.6%
2023-03-01,07:29,EUR,German Prelim CPI m/m,low,0.8%,0.5%,1.0%
2023-03-01,07:30,CHF,Retail Sales y/y,low,-2.2%,-2.2%,-2.8%
2023-03-01,08:15,EUR,Spanish Manufacturing PMI,low,50.7,49.1,48.4
2023-03-01,08:30,CHF,Manufacturing PMI,low,48.9,50.4,49.3
2023-03-01,08:45,EUR,Italian Manufacturing PMI,low,52.0,50.9,50.4
2023-03-01,08:50,EUR,French Final Manufacturing PMI,low,47.4,47.9,47.9
2023-03-01,08:55,EUR,German Final Manufacturing PMI,low,46.3,46.5,46.5
2023-03-01,08:55,EUR,German Unemployment Change,low,2K,-9K,-22K
2023-03-01,09:00,EUR,Final Manufacturing PMI,low,48.5,48.5,48.5
2023-03-01,09:30,GBP,Final Manufacturing PMI,low,49.3,49.2,49.2
2023-03-01,09:30,GBP,M4 Money Supply m/m,low,1.3%,-0.9%,-0.8%
2023-03-01,09:30,GBP,Mortgage Approvals,low,40K,37K,36K
2023-03-01,09:30,GBP,Net Lending to Individuals m/m,low,4.1B,4.6B,3.7B
2023-03-01,10:00,EUR,German Buba President Nagel Speaks,low,,,
2023-03-01,10:00,GBP,BOE Gov Bailey Speaks,high,,,
2023-03-01,14:00,USD,FOMC Member Kashkari Speaks,low,,,
2023-03-01,14:30,CAD,Manufacturing PMI,low,52.4,,51.0
2023-03-01,14:45,USD,Final Manufacturing PMI,low,47.3,47.8,47.8
2023-03-01,15:00,USD,ISM Manufacturing PMI,high,47.7,47.9,47.4
2023-03-01,15:00,USD,Construction Spending m/m,low,-0.1%,0.2%,-0.4%
2023-03-01,15:00,USD,ISM Manufacturing Prices,low,51.3,45.5,44.5
2023-03-01,15:15,USD,Omdia Total Vehicle Sales,low,14.9M,14.7M,15.7M
2023-03-01,15:30,USD,Crude Oil Inventories,low,1.2M,1.7M,7.6M
2023-03-01,21:45,NZD,Overseas Trade Index q/q,low,1.8%,-1.7%,-3.4%
2023-03-01,23:50,JPY,Capital Spending q/y,low,7.7%,7.2%,9.8%
2023-03-01,23:50,JPY,Monetary Base y/y,low,-1.6%,-3.2%,-3.8%
2023-03-02,00:30,AUD,Building Approvals m/m,low,-27.6%,-7.1%,18.5%
2023-03-02,03:35,JPY,10-y Bond Auction,low,0.507.6,,0.494.6
2023-03-02,05:00,JPY,Consumer Confidence,low,31.1,32.1,31.0
2023-03-02,07:45,EUR,French Gov Budget Balance,low,-21.1B,,-151.5B
2023-03-02,08:00,EUR,Spanish Unemployment Change,low,2.6K,11.5K,70.7K
2023-03-02,09:00,EUR,Italian Monthly Unemployment Rate,low,7.9%,7.8%,7.8%
2023-03-02,09:49,EUR,Spanish 10-y Bond Auction,low,3.771.9,,3.401.8
2023-03-02,10:00,EUR,Core CPI Flash Estimate y/y,medium,5.6%,5.3%,5.2%
2023-03-02,10:00,EUR,CPI Flash Estimate y/y,medium,8.5%,8.3%,8.5%
2023-03-02,10:00,EUR,Italian Prelim CPI m/m,low,0.3%,0.1%,0.2%
2023-03-02,10:00,EUR,Unemployment Rate,low,6.7%,6.6%,6.6%
2023-03-02,10:03,EUR,French 10-y Bond Auction,low,3.202.3,,2.682.1
2023-03-02,12:30,EUR,ECB Monetary Policy Meeting Accounts,low,,,
2023-03-02,13:30,USD,Unemployment Claims,medium,190K,196K,192K
2023-03-02,13:30,USD,Revised Nonfarm Productivity q/q,low,1.7%,2.5%,3.0%
2023-03-02,13:30,USD,Revised Unit Labor Costs q/q,low,3.2%,1.6%,1.1%
2023-03-02,15:00,GBP,MPC Member Pill Speaks,low,,,
2023-03-02,15:30,USD,Natural Gas Storage,low,-81B,-72B,-71B
2023-03-02,19:06,NZD,RBNZ Gov Orr Speaks,high,,,
2023-03-02,21:00,USD,FOMC Member Waller Speaks,medium,,,
2023-03-02,23:00,USD,FOMC Member Kashkari Speaks,low,,,
2023-03-02,23:30,JPY,Tokyo Core CPI y/y,low,3.3%,3.3%,4.3%
2023-03-02,23:30,JPY,Unemployment Rate,low,2.4%,2.5%,2.5%
2023-03-03,01:45,CNY,RatingDog Services PMI,low,55.0,54.3,52.9
2023-03-03,07:00,EUR,German Trade Balance,low,16.7B,11.1B,10.0B
2023-03-03,07:45,EUR,French Industrial Production m/m,low,-1.9%,-0.2%,1.1%
2023-03-03,08:15,EUR,Spanish Services PMI,low,56.7,53.8,52.7
2023-03-03,08:45,EUR,Italian Services PMI,low,51.6,52.4,51.2
2023-03-03,08:50,EUR,French Final Services PMI,low,53.1,52.8,52.8
2023-03-03,08:55,EUR,German Final Services PMI,low,50.9,51.3,51.3
2023-03-03,09:00,EUR,Final Services PMI,low,52.7,53.0,53.0
2023-03-03,09:30,GBP,Final Services PMI,low,53.5,53.3,53.3
2023-03-03,10:00,EUR,PPI m/m,low,-2.8%,-0.3%,1.1%
2023-03-03,13:30,CAD,Building Permits m/m,low,-4.0%,1.7%,-7.3%
2023-03-03,13:30,CAD,Labor Productivity q/q,low,-0.5%,0.2%,0.6%
2023-03-03,14:45,USD,Final Services PMI,low,50.6,50.5,50.5
2023-03-03,15:00,USD,ISM Services PMI,high,55.1,54.5,55.2
2023-03-03,16:00,USD,Fed Monetary Policy Report,low,,,
2023-03-03,16:00,USD,FOMC Member Logan Speaks,low,,,
2023-03-06,00:00,AUD,MI Inflation Gauge m/m,low,0.4%,,0.9%
2023-03-06,00:00,NZD,ANZ Commodity Prices m/m,low,1.3%,,-1.0%
2023-03-06,07:30,CHF,CPI m/m,high,0.7%,0.5%,0.6%
2023-03-06,09:30,EUR,Sentix Investor Confidence,low,-11.1,-5.6,-8.0
2023-03-06,09:30,GBP,Construction PMI,low,54.6,48.7,48.4
2023-03-06,10:00,EUR,Retail Sales m/m,low,0.3%,0.7%,-2.7%
2023-03-06,15:00,CAD,Ivey PMI,medium,51.6,55.9,60.1
2023-03-06,15:00,USD,Factory Orders m/m,low,-1.6%,-1.8%,1.8%
2023-03-06,23:30,JPY,Average Cash Earnings y/y,low,0.8%,1.9%,4.8%
2023-03-07,00:01,GBP,BRC Retail Sales Monitor y/y,low,4.9%,4.8%,3.9%
2023-03-07,00:30,AUD,Goods Trade Balance,low,11.69B,12.25B,12.24B
2023-03-07,03:30,AUD,Cash Rate,high,3.60%,3.60%,3.35%
